status,station_no,name,district,address,parking_spaces,lat,lng,COUNTYNAME
1,158,捷運東湖站,內湖區,安康路315巷/五分街14巷(西側),48,25.067026,121.61355,臺北市
1,159,捷運西湖站(1號出口),內湖區,環山路一段9巷/內湖路一段285巷(西南側),36,25.082866,121.566695,臺北市
1,161,大豐公園,北投區,磺港路/大興街(東北側),56,25.131143,121.503768,臺北市
1,162,捷運中山國小站(4號出口),中山區,民權東路一段/新生北路三段(北側)(新生高架橋下),70,25.062924,121.52772,臺北市
1,163,捷運麟光站,大安區,和平東路三段/和平東路三段416巷(捷運高架橋下)(鄰近富陽自然生態公園),72,25.018097,121.559279,臺北市
1,164,捷運奇岩站,北投區,北投路一段/三合街二段(東北側),56,25.126286,121.500801,臺北市
1,165,捷運唭哩岸站(2號出口),北投區,西安街二段/立農街一段257巷(鄰近慈生宮),62,25.120788,121.505693,臺北市
1,166,臺北市立景美女中,文山區,木新路三段/一壽街(西北側),34,24.980602,121.556177,臺北市
1,167,臺北市立天文館,士林區,基河路363號前(鄰近台北市立天文科學教育館/國立台灣科學教育館),50,25.095714,121.518046,臺北市
1,168,河堤國小,中正區,金門街12巷23弄1號旁,44,25.02288,121.522855,臺北市
1,169,植物園,中正區,和平西路二段100號前(鄰近台北植物園/國立歷史博物館/131 Fun心玩親子館),44,25.030015,121.509813,臺北市
1,170,新東公園,松山區,民生東路五段/塔悠路(西南側),50,25.059245,121.568883,臺北市
1,171,文山運動中心,文山區,興隆路三段/興隆路三段192巷8弄,38,24.996842,121.559651,臺北市
1,172,捷運南京三民站(1號出口),松山區,南京東路五段/三民路(西北側),24,25.051562,121.562891,臺北市
1,173,捷運松江南京站(7號出口),中山區,松江路/南京東路二段(東北側)(鄰近四平陽光商圈),56,25.052181,121.533211,臺北市
1,174,捷運小巨蛋站(5號出口),松山區,南京東路四段/健康路(東北側)(鄰近台北田徑場),48,25.051702,121.553057,臺北市
1,175,捷運南京復興站(5號出口),松山區,南京東路三段/南京東路三段256巷(東南側),52,25.051618,121.544847,臺北市
1,176,興安華城,中山區,興安街/遼寧街,94,25.055997,121.542318,臺北市
1,177,葫蘆國小,士林區,環河北路三段/葫蘆街(東北側),40,25.082538,121.507495,臺北市
1,178,延平國宅,士林區,延平北路五段一巷40號前,32,25.078908,121.510306,臺北市
1,179,南港公園,南港區,福德街383號對面(南港公園出口前),52,25.041355,121.59073,臺北市
