time_id,time,week,hour,weekDays,number
10145,2020/12/24 8:53,3,8,1,0
10146,2020/12/24 8:59,3,8,1,0
10147,2020/12/24 9:04,3,9,1,0
10148,2020/12/24 9:09,3,9,1,0
10149,2020/12/24 9:14,3,9,1,0
10150,2020/12/24 9:19,3,9,1,0
10151,2020/12/24 9:24,3,9,1,0
10152,2020/12/24 9:29,3,9,1,0
10153,2020/12/24 9:34,3,9,1,0
10154,2020/12/24 9:39,3,9,1,0
10155,2020/12/24 9:44,3,9,1,0
10156,2020/12/24 9:50,3,9,1,0
10157,2020/12/24 9:55,3,9,1,0
10158,2020/12/24 10:00,3,10,1,0
10159,2020/12/24 10:05,3,10,1,0
10160,2020/12/24 10:10,3,10,1,0
10161,2020/12/24 10:15,3,10,1,0
10162,2020/12/24 10:20,3,10,1,0
10163,2020/12/24 10:25,3,10,1,0
10164,2020/12/24 10:30,3,10,1,0
10165,2020/12/24 10:35,3,10,1,0
10166,2020/12/24 10:40,3,10,1,0
10167,2020/12/24 10:46,3,10,1,0
10168,2020/12/24 10:51,3,10,1,0
10169,2020/12/24 10:56,3,10,1,0
10170,2020/12/24 11:01,3,11,1,0
10171,2020/12/24 11:06,3,11,1,0
10172,2020/12/24 11:11,3,11,1,0
10173,2020/12/24 11:16,3,11,1,0
10174,2020/12/24 11:21,3,11,1,0
10175,2020/12/24 11:26,3,11,1,0
10176,2020/12/24 11:31,3,11,1,0
10177,2020/12/24 11:37,3,11,1,0
10178,2020/12/24 11:42,3,11,1,0
10179,2020/12/24 11:47,3,11,1,0
10180,2020/12/24 11:52,3,11,1,0
10181,2020/12/24 11:57,3,11,1,0
10182,2020/12/24 12:02,3,12,1,0
10183,2020/12/24 12:07,3,12,1,0
10184,2020/12/24 12:12,3,12,1,0
10185,2020/12/24 12:17,3,12,1,0
10186,2020/12/24 12:22,3,12,1,0
10187,2020/12/24 12:27,3,12,1,0
10188,2020/12/24 12:33,3,12,1,0
10189,2020/12/24 12:38,3,12,1,0
10190,2020/12/24 12:43,3,12,1,0
10191,2020/12/24 12:48,3,12,1,0
10192,2020/12/24 12:53,3,12,1,0
10193,2020/12/24 12:58,3,12,1,0
10194,2020/12/24 13:03,3,13,1,0
10195,2020/12/24 13:08,3,13,1,0
10196,2020/12/24 13:13,3,13,1,0
10197,2020/12/24 13:18,3,13,1,0
10198,2020/12/24 13:24,3,13,1,0
10199,2020/12/24 13:29,3,13,1,0
10200,2020/12/24 13:34,3,13,1,0
10201,2020/12/24 13:39,3,13,1,0
10202,2020/12/24 13:44,3,13,1,0
10203,2020/12/24 13:49,3,13,1,0
10204,2020/12/24 13:54,3,13,1,0
10205,2020/12/24 13:59,3,13,1,0
10206,2020/12/24 14:04,3,14,1,0
10207,2020/12/24 14:09,3,14,1,0
10208,2020/12/24 14:14,3,14,1,0
10209,2020/12/24 14:20,3,14,1,0
10210,2020/12/24 14:25,3,14,1,0
10211,2020/12/24 14:30,3,14,1,0
10212,2020/12/24 14:35,3,14,1,0
10213,2020/12/24 14:40,3,14,1,0
10214,2020/12/24 14:45,3,14,1,0
10215,2020/12/24 14:50,3,14,1,0
