station_no,class,Diff
0-9,0,0
2-9,0,0
3-9,0,0
4-9,0,0
1-9,0,0
0-8,1,220.50849632234184
2-8,1,220.50849632234184
3-8,1,220.50849632234184
4-8,1,220.50849632234184
0-7,2,442.2870789874696
3-7,2,442.2870789874696
4-7,2,442.2870789874696
1-7,2,442.2870789874696
2-7,2,442.2870789874696
0-0,3,674.1212582885646
0-1,3,674.1212582885646
0-2,3,674.1212582885646
2-2,3,674.1212582885646
3-4,3,674.1212582885646
3-5,3,674.1212582885646
4-5,3,674.1212582885646
0-5,3,674.1212582885646
3-2,3,674.1212582885646
1-2,3,674.1212582885646
2-5,3,674.1212582885646
4-2,3,674.1212582885646
1-5,3,674.1212582885646
5-5,3,674.1212582885646
6-5,3,674.1212582885646
5-2,3,674.1212582885646
6-2,3,674.1212582885646
0-3,3,674.1212582885646
3-1,3,674.1212582885646
6-3,3,674.1212582885646
2-4,3,674.1212582885646
2-1,3,674.1212582885646
5-6,3,674.1212582885646
6-6,3,674.1212582885646
1-4,3,674.1212582885646
2-3,3,674.1212582885646
3-3,3,674.1212582885646
4-3,3,674.1212582885646
5-3,3,674.1212582885646
1-3,3,674.1212582885646
0-4,3,674.1212582885646
4-4,3,674.1212582885646
5-4,3,674.1212582885646
1-1,3,674.1212582885646
2-0,3,674.1212582885646
6-4,3,674.1212582885646
0-6,3,674.1212582885646
3-6,3,674.1212582885646
4-6,3,674.1212582885646
2-6,3,674.1212582885646
1-6,3,674.1212582885646
6-7,3,674.1212582885646
4-1,3,674.1212582885646
1-0,3,674.1212582885646
3-0,3,674.1212582885646
5-1,3,674.1212582885646
6-1,3,674.1212582885646
5-7,3,674.1212582885646
6-12,3,674.1212582885646
6-23,3,674.1212582885646
0-23,3,674.1212582885646
1-23,3,674.1212582885646
4-0,3,674.1212582885646
5-0,3,674.1212582885646
6-0,3,674.1212582885646
6-22,3,674.1212582885646
3-23,3,674.1212582885646
0-10,3,674.1212582885646
1-10,3,674.1212582885646
2-10,3,674.1212582885646
3-10,3,674.1212582885646
4-10,3,674.1212582885646
0-11,3,674.1212582885646
2-11,3,674.1212582885646
3-11,3,674.1212582885646
4-11,3,674.1212582885646
0-12,3,674.1212582885646
2-12,3,674.1212582885646
3-12,3,674.1212582885646
4-12,3,674.1212582885646
2-14,3,674.1212582885646
3-14,3,674.1212582885646
0-15,3,674.1212582885646
3-15,3,674.1212582885646
2-15,3,674.1212582885646
0-13,3,674.1212582885646
2-13,3,674.1212582885646
3-13,3,674.1212582885646
4-13,3,674.1212582885646
0-14,3,674.1212582885646
4-14,3,674.1212582885646
6-13,3,674.1212582885646
6-15,3,674.1212582885646
6-14,3,674.1212582885646
4-15,3,674.1212582885646
5-8,3,674.1212582885646
6-8,3,674.1212582885646
5-9,3,674.1212582885646
6-9,3,674.1212582885646
6-19,3,674.1212582885646
0-21,4,878.718462037733
3-21,4,878.718462037733
4-21,4,878.718462037733
1-21,4,878.718462037733
0-22,4,878.718462037733
3-22,4,878.718462037733
1-22,4,878.718462037733
4-23,4,878.718462037733
5-23,4,878.718462037733
6-20,4,878.718462037733
4-22,4,878.718462037733
5-22,4,878.718462037733
5-21,4,878.718462037733
6-21,4,878.718462037733
0-20,5,1075.8615252553084
1-20,5,1075.8615252553084
2-20,5,1075.8615252553084
3-20,5,1075.8615252553084
4-20,5,1075.8615252553084
5-18,6,1277.4253112232323
6-18,6,1277.4253112232323
5-19,7,1479.6870058314144
5-10,8,1673.6564278656188
6-10,8,1673.6564278656188
5-12,8,1673.6564278656188
6-16,8,1673.6564278656188
5-16,8,1673.6564278656188
5-13,8,1673.6564278656188
5-15,8,1673.6564278656188
5-14,8,1673.6564278656188
5-11,9,1868.6814614473951
6-11,9,1868.6814614473951
0-16,10,2077.0679200077643
2-16,10,2077.0679200077643
4-16,10,2077.0679200077643
1-16,10,2077.0679200077643
3-16,10,2077.0679200077643
5-20,11,2308.5168551853935
2-23,12,2558.7787180410833
2-17,13,2812.3649952723244
0-17,14,3012.452476140069
1-17,15,3209.6959804691087
3-17,16,3415.8803639708667
4-17,17,3626.3940214850527
1-18,18,3883.230545367463
0-18,19,4098.934045570867
2-18,20,4313.00412755338
3-18,21,4520.464967231619
4-18,22,4726.31442678884
3-19,23,4959.436712295825
2-19,24,5172.274678833753
1-19,25,5375.023291652682
4-19,26,5571.209427758167
0-19,27,5777.791130723363
6-17,28,6019.970816081156
5-17,29,6222.183575322506
2-22,30,6482.235493215838
2-21,31,6726.075604764369
1-8,32,7019.108026178792
