station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,368.6609862987242
3-9,3,543.0112085526691
4-9,4,703.3046893932822
2-8,5,925.070331457151
4-8,6,1109.4585089523473
3-8,7,1278.9253198623305
0-8,8,1472.32128672824
4-7,9,1700.0843214814677
3-7,10,1828.9718693672119
0-7,11,1977.8073490083243
2-7,12,2136.725566969639
1-7,13,2296.6786851011716
6-7,14,2547.37371895705
3-6,15,2659.696406759086
4-6,15,2659.696406759086
0-6,16,2730.325349928622
2-6,17,2812.4045799445034
1-6,18,2898.1367209419145
2-0,19,3031.3508343083295
0-1,20,3153.0348513360395
5-4,21,3269.67961118405
4-4,22,3371.7433167801137
1-3,23,3473.551960813909
5-3,24,3578.8135397494348
4-3,25,3660.9901787656418
3-3,26,3742.752028059796
1-4,27,3825.0927834607514
2-3,28,3909.3958083175144
2-1,29,4021.9169174482013
6-3,30,4127.477326693334
0-3,31,4214.494566364563
6-5,32,4310.129288092605
0-2,33,4388.232602844243
2-2,33,4388.232602844243
3-4,33,4388.232602844243
3-5,33,4388.232602844243
4-5,33,4388.232602844243
0-5,33,4388.232602844243
3-2,33,4388.232602844243
1-2,33,4388.232602844243
2-5,33,4388.232602844243
4-2,33,4388.232602844243
1-5,33,4388.232602844243
5-5,34,4463.921780111464
6-2,35,4548.2425960467945
5-2,36,4625.837698985059
3-1,37,4713.888820499779
2-4,38,4813.407662936777
6-6,39,4915.495860099819
5-6,40,4996.2299916675765
0-4,41,5113.456268585339
1-1,42,5230.131030209265
0-0,43,5339.762230147969
6-4,44,5471.166187470418
4-1,45,5607.588326436203
3-0,46,5735.181429698096
1-0,47,5855.256406275233
6-1,48,5988.972523478807
5-1,49,6110.648322222846
6-12,50,6264.9078438090355
5-7,51,6410.111149556529
6-23,52,6558.350820360265
6-22,53,6712.422232374305
1-23,54,6869.2087113831785
0-23,55,7005.923743475483
4-0,56,7152.555936393683
5-0,57,7295.720177739069
6-0,58,7440.78912686327
3-23,59,7597.454375083799
6-9,60,7790.516541237605
5-9,61,7959.424800360716
5-8,62,8147.081401630163
6-8,63,8308.065872930969
6-14,64,8480.785298590043
6-15,65,8637.75026283366
6-13,66,8782.791636241389
4-14,67,8955.58052477303
0-14,68,9110.925302606081
0-15,69,9280.65744452387
3-15,70,9427.507708398334
2-15,71,9575.227036856055
4-12,72,9723.743029260913
3-12,73,9852.30429870082
2-12,74,9977.260290954093
0-12,75,10110.331700355211
4-11,76,10257.898634320785
3-11,77,10382.678440379297
2-11,78,10500.919719127456
0-11,79,10630.57310319436
2-14,80,10780.145827980665
3-14,81,10927.047155408296
4-13,82,11092.543378930164
3-13,83,11245.114673740165
2-13,84,11390.149152399552
0-13,85,11543.55058655191
0-10,86,11720.553411388126
1-10,87,11871.61962203763
2-10,88,12019.55541892263
3-10,89,12177.067323234653
4-10,90,12326.040475178215
4-15,91,12517.066651394984
6-19,92,12716.86655129486
6-21,93,12917.980946602604
6-20,94,13106.652619092143
5-23,95,13281.054453944877
4-23,96,13456.362753805437
3-22,97,13625.560862541912
0-22,98,13773.029503276137
1-22,99,13935.236161585837
5-22,100,14125.08610232852
4-22,101,14296.030537745411
5-21,102,14475.858233054005
4-21,103,14660.982515631953
3-21,104,14836.016797988295
0-21,105,15000.652760037903
1-21,106,15182.666495783313
4-20,107,15392.716489832348
3-20,108,15589.241297426708
2-20,109,15768.244090701002
0-20,110,15952.222350286205
1-20,111,16134.25531433393
6-18,112,16325.46985353009
5-18,113,16512.46183196767
5-19,114,16714.26867030572
5-10,115,16911.21790234281
6-10,116,17093.804867923598
5-16,117,17289.429508498346
6-16,118,17469.3989503489
5-12,119,17647.530923896604
5-15,120,17834.992920045155
5-13,121,18018.41320245689
5-14,122,18213.115539371473
5-11,123,18411.96975733026
6-11,124,18592.42473786557
1-16,125,18802.27230158743
0-16,126,18967.441911382935
4-16,127,19131.56991021312
2-16,128,19290.71764032574
3-16,129,19470.942499876248
5-20,130,19712.708916071715
2-23,131,19962.970778927403
2-17,132,20216.557056158646
0-17,133,20416.64453702639
1-17,134,20613.88804135543
3-17,135,20820.072424857186
4-17,136,21030.586082371374
1-18,137,21287.422606253785
0-18,138,21503.126106457188
2-18,139,21717.196188439702
3-18,140,21924.65702811794
4-18,141,22130.506487675164
3-19,142,22363.628773182147
2-19,143,22576.466739720076
1-19,144,22779.215352539006
4-19,145,22975.401488644493
0-19,146,23181.98319160969
6-17,147,23424.162876967483
5-17,148,23626.37563620883
2-22,149,23886.427554102163
2-21,150,24130.267665650696
1-8,151,24423.30008706512
