station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,368.6609862987242
3-9,3,543.0112085526691
4-9,4,703.3046893932822
2-8,5,925.070331457151
4-8,6,1109.4585089523473
3-8,7,1278.9253198623305
0-8,8,1472.32128672824
4-7,9,1700.0843214814677
3-7,10,1828.9718693672119
0-7,11,1977.8073490083243
2-7,12,2136.725566969639
1-7,13,2296.6786851011716
0-6,14,2558.5496852942642
3-6,14,2558.5496852942642
4-6,14,2558.5496852942642
2-6,14,2558.5496852942642
1-6,14,2558.5496852942642
6-7,14,2558.5496852942642
0-0,15,2679.6187875539754
0-1,15,2679.6187875539754
0-2,15,2679.6187875539754
2-2,15,2679.6187875539754
3-4,15,2679.6187875539754
3-5,15,2679.6187875539754
4-5,15,2679.6187875539754
0-5,15,2679.6187875539754
3-2,15,2679.6187875539754
1-2,15,2679.6187875539754
2-5,15,2679.6187875539754
4-2,15,2679.6187875539754
1-5,15,2679.6187875539754
5-5,15,2679.6187875539754
6-5,15,2679.6187875539754
5-2,15,2679.6187875539754
6-2,15,2679.6187875539754
0-3,15,2679.6187875539754
3-1,15,2679.6187875539754
6-3,15,2679.6187875539754
2-4,15,2679.6187875539754
2-1,15,2679.6187875539754
5-6,15,2679.6187875539754
6-6,15,2679.6187875539754
1-4,15,2679.6187875539754
2-3,15,2679.6187875539754
3-3,15,2679.6187875539754
4-3,15,2679.6187875539754
5-3,15,2679.6187875539754
1-3,15,2679.6187875539754
0-4,15,2679.6187875539754
4-4,15,2679.6187875539754
5-4,15,2679.6187875539754
1-1,15,2679.6187875539754
2-0,15,2679.6187875539754
6-4,15,2679.6187875539754
4-1,16,2800.8298598704755
3-0,17,2928.4229631323683
1-0,18,3048.4979397095053
6-1,19,3182.2140569130797
5-1,20,3303.8898556571194
6-12,21,3458.1493772433087
5-7,22,3603.352682990802
6-23,23,3751.5923537945378
6-22,24,3905.6637658085774
1-23,25,4062.450244817451
0-23,26,4199.165276909756
4-0,27,4345.797469827956
5-0,28,4488.961711173342
6-0,29,4634.030660297543
3-23,30,4790.695908518072
6-9,31,4983.758074671879
5-9,32,5152.666333794989
5-8,33,5340.322935064436
6-8,34,5501.307406365242
6-14,35,5674.026832024315
6-15,36,5830.991796267932
6-13,37,5976.03316967566
4-14,38,6148.822058207302
0-14,39,6304.166836040353
0-15,40,6473.898977958141
3-15,41,6620.749241832606
2-15,42,6768.468570290326
4-12,43,6916.984562695185
3-12,44,7045.545832135091
2-12,45,7170.501824388363
0-12,46,7303.5732337894815
4-11,47,7451.140167755055
2-11,48,7578.485824955901
3-11,48,7578.485824955901
0-11,49,7708.372105060597
2-14,50,7857.944829846903
3-14,51,8004.846157274535
4-13,52,8170.342380796403
3-13,53,8322.913675606404
2-13,54,8467.94815426579
0-13,55,8621.349588418148
0-10,56,8798.352413254364
1-10,57,8949.418623903868
2-10,58,9097.354420788868
3-10,59,9254.866325100891
4-10,60,9403.839477044454
4-15,61,9594.865653261222
6-19,62,9794.665553161098
6-21,63,9995.779948468842
6-20,64,10184.451620958382
5-23,65,10358.853455811115
4-23,66,10534.161755671676
3-22,67,10703.35986440815
0-22,68,10850.828505142375
1-22,69,11013.035163452076
5-22,70,11202.885104194758
4-22,71,11373.82953961165
5-21,72,11553.657234920243
4-21,73,11738.781517498192
3-21,74,11913.815799854534
0-21,75,12078.451761904142
1-21,76,12260.465497649551
4-20,77,12470.515491698587
3-20,78,12667.040299292947
2-20,79,12846.04309256724
0-20,80,13030.021352152444
1-20,81,13212.054316200169
6-18,82,13403.268855396329
5-18,83,13590.260833833909
5-19,84,13792.06767217196
5-10,85,13989.016904209051
6-10,86,14171.60386978984
5-16,87,14367.22851036459
6-16,88,14547.197952215145
5-12,89,14725.32992576285
5-15,90,14912.791921911403
5-13,91,15096.212204323136
5-14,92,15290.914541237718
5-11,93,15489.768759196504
6-11,94,15670.223739731817
1-16,95,15880.071303453677
0-16,96,16045.240913249183
4-16,97,16209.368912079364
2-16,98,16368.516642191986
3-16,99,16548.741501742494
5-20,100,16790.50791793796
2-23,101,17040.76978079365
2-17,102,17294.356058024892
0-17,103,17494.443538892636
1-17,104,17691.687043221675
3-17,105,17897.87142672343
4-17,106,18108.38508423762
1-18,107,18365.22160812003
0-18,108,18580.925108323434
2-18,109,18794.99519030595
3-18,110,19002.456029984187
4-18,111,19208.30548954141
3-19,112,19441.427775048393
2-19,113,19654.26574158632
1-19,114,19857.01435440525
4-19,115,20053.20049051074
0-19,116,20259.782193475934
6-17,117,20501.96187883373
5-17,118,20704.174638075077
2-22,119,20964.22655596841
2-21,120,21208.06666751694
1-8,121,21501.099088931365
