station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,368.6609862987242
3-9,3,543.0112085526691
4-9,4,703.3046893932822
2-8,5,925.070331457151
4-8,6,1109.4585089523473
3-8,7,1278.9253198623305
0-8,8,1472.32128672824
4-7,9,1700.0843214814677
3-7,10,1828.9718693672119
0-7,11,1977.8073490083243
2-7,12,2136.725566969639
1-7,13,2296.6786851011716
6-7,14,2547.37371895705
4-6,15,2658.9129497236286
3-6,16,2717.8705616155635
0-6,17,2787.2535566503702
2-6,18,2869.3327866662516
1-6,19,2955.0649276636627
2-0,20,3088.2790410300777
0-1,21,3209.9630580577877
5-4,22,3326.607817905798
4-4,23,3428.671523501862
1-3,24,3530.480167535657
5-3,25,3635.741746471183
4-3,26,3717.91838548739
3-3,27,3799.680234781544
1-4,28,3882.0209901824996
2-3,29,3966.3240150392626
2-1,30,4078.8451241699495
6-3,31,4184.405533415083
0-3,32,4271.422773086311
6-5,33,4367.057494814353
4-2,34,4446.694169782611
1-2,35,4514.5543200919055
0-5,36,4584.782519556224
3-5,37,4640.535584688301
4-5,37,4640.535584688301
0-2,38,4692.231462829152
2-2,38,4692.231462829152
3-4,39,4742.498374839359
3-2,40,4802.155729792457
2-5,41,4876.000160862105
1-5,42,4944.080995169566
5-5,43,5017.470367697201
6-2,44,5101.791183632532
5-2,45,5179.386286570797
3-1,46,5267.437408085517
2-4,47,5366.956250522515
6-6,48,5469.044447685556
5-6,49,5549.778579253314
0-4,50,5667.004856171076
1-1,51,5783.679617795003
0-0,52,5893.310817733706
6-4,53,6024.714775056155
4-1,54,6161.13691402194
3-0,55,6288.730017283833
1-0,56,6408.80499386097
6-1,57,6542.521111064544
5-1,58,6664.196909808584
6-12,59,6818.456431394773
5-7,60,6963.659737142267
6-23,61,7111.899407946003
6-22,62,7265.970819960043
1-23,63,7422.757298968916
0-23,64,7559.472331061221
4-0,65,7706.10452397942
5-0,66,7849.268765324807
6-0,67,7994.337714449008
3-23,68,8151.002962669537
6-9,69,8344.065128823344
5-9,70,8512.973387946455
5-8,71,8700.6299892159
6-8,72,8861.614460516706
6-14,73,9034.33388617578
6-15,74,9191.298850419398
6-13,75,9336.340223827126
4-14,76,9509.129112358767
0-14,77,9664.473890191819
0-15,78,9834.206032109607
3-15,79,9981.056295984072
2-15,80,10128.775624441792
4-12,81,10277.29161684665
3-12,82,10405.852886286557
2-12,83,10530.80887853983
0-12,84,10663.880287940949
4-11,85,10811.447221906523
3-11,86,10936.227027965035
2-11,87,11054.468306713194
0-11,88,11184.121690780097
2-14,89,11333.694415566402
3-14,90,11480.595742994034
4-13,91,11646.091966515902
3-13,92,11798.663261325903
2-13,93,11943.69773998529
0-13,94,12097.099174137647
0-10,95,12274.101998973863
1-10,96,12425.168209623367
2-10,97,12573.104006508367
3-10,98,12730.61591082039
4-10,99,12879.589062763953
4-15,100,13070.615238980721
6-19,101,13270.415138880597
6-21,102,13471.529534188341
6-20,103,13660.20120667788
5-23,104,13834.603041530614
4-23,105,14009.911341391175
3-22,106,14179.10945012765
0-22,107,14326.578090861874
1-22,108,14488.784749171575
5-22,109,14678.634689914257
4-22,110,14849.579125331149
5-21,111,15029.406820639742
4-21,112,15214.53110321769
3-21,113,15389.565385574033
0-21,114,15554.20134762364
1-21,115,15736.21508336905
4-20,116,15946.265077418086
3-20,117,16142.789885012446
2-20,118,16321.79267828674
0-20,119,16505.77093787194
1-20,120,16687.803901919666
6-18,121,16879.018441115826
5-18,122,17066.010419553404
5-19,123,17267.817257891453
5-10,124,17464.766489928545
6-10,125,17647.353455509332
5-16,126,17842.97809608408
6-16,127,18022.947537934633
5-12,128,18201.079511482338
5-15,129,18388.54150763089
5-13,130,18571.961790042624
5-14,131,18766.664126957206
5-11,132,18965.518344915992
6-11,133,19145.973325451305
1-16,134,19355.820889173163
0-16,135,19520.99049896867
4-16,136,19685.118497798852
2-16,137,19844.266227911474
3-16,138,20024.49108746198
5-20,139,20266.25750365745
2-23,140,20516.519366513137
2-17,141,20770.10564374438
0-17,142,20970.193124612124
1-17,143,21167.436628941163
3-17,144,21373.62101244292
4-17,145,21584.134669957108
1-18,146,21840.97119383952
0-18,147,22056.674694042922
2-18,148,22270.744776025436
3-18,149,22478.205615703675
4-18,150,22684.055075260898
3-19,151,22917.17736076788
2-19,152,23130.01532730581
1-19,153,23332.76394012474
4-19,154,23528.950076230227
0-19,155,23735.531779195422
6-17,156,23977.711464553217
5-17,157,24179.924223794565
2-22,158,24439.976141687897
2-21,159,24683.81625323643
1-8,160,24976.848674650853
