station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,368.6609862987242
3-9,3,543.0112085526691
4-9,4,703.3046893932822
2-8,5,925.070331457151
4-8,6,1109.4585089523473
3-8,7,1278.9253198623305
0-8,8,1472.32128672824
4-7,9,1700.0843214814677
3-7,10,1828.9718693672119
0-7,11,1977.8073490083243
2-7,12,2136.725566969639
1-7,13,2296.6786851011716
6-7,14,2547.37371895705
0-6,15,2661.810140105563
3-6,15,2661.810140105563
4-6,15,2661.810140105563
2-6,15,2661.810140105563
1-6,15,2661.810140105563
2-0,16,2779.842385601765
0-1,17,2901.526402629475
5-4,18,3018.1711624774853
4-4,19,3120.234868073549
1-3,20,3222.043512107344
0-2,21,3322.734031617329
2-2,21,3322.734031617329
3-4,21,3322.734031617329
3-5,21,3322.734031617329
4-5,21,3322.734031617329
0-5,21,3322.734031617329
3-2,21,3322.734031617329
1-2,21,3322.734031617329
2-5,21,3322.734031617329
4-2,21,3322.734031617329
1-5,21,3322.734031617329
5-5,21,3322.734031617329
6-5,21,3322.734031617329
5-2,21,3322.734031617329
6-2,21,3322.734031617329
0-3,21,3322.734031617329
3-1,21,3322.734031617329
6-3,21,3322.734031617329
2-4,21,3322.734031617329
2-1,21,3322.734031617329
5-6,21,3322.734031617329
6-6,21,3322.734031617329
1-4,21,3322.734031617329
2-3,21,3322.734031617329
3-3,21,3322.734031617329
4-3,21,3322.734031617329
5-3,21,3322.734031617329
0-4,22,3423.4440960422094
1-1,23,3540.1188576661357
0-0,24,3649.750057604839
6-4,25,3781.1540149272882
4-1,26,3917.5761538930733
3-0,27,4045.169257154966
1-0,28,4165.244233732103
6-1,29,4298.960350935677
5-1,30,4420.636149679716
6-12,31,4574.895671265906
5-7,32,4720.098977013399
6-23,33,4868.338647817135
6-22,34,5022.410059831175
1-23,35,5179.196538840049
0-23,36,5315.911570932353
4-0,37,5462.543763850553
5-0,38,5605.708005195939
6-0,39,5750.77695432014
3-23,40,5907.442202540669
6-9,41,6100.5043686944755
5-9,42,6269.412627817586
5-8,43,6457.069229087033
6-8,44,6618.053700387839
6-14,45,6790.773126046912
6-15,46,6947.738090290529
6-13,47,7092.779463698257
4-14,48,7265.568352229899
0-14,49,7420.91313006295
0-15,50,7590.645271980738
3-15,51,7737.495535855202
2-15,52,7885.214864312923
4-12,53,8033.7308567177815
3-12,54,8162.292126157687
2-12,55,8287.24811841096
0-12,56,8420.319527812078
4-11,57,8567.886461777653
3-11,58,8692.666267836164
2-11,59,8810.907546584323
0-11,60,8940.560930651227
2-14,61,9090.133655437532
3-14,62,9237.034982865163
4-13,63,9402.531206387031
3-13,64,9555.102501197032
2-13,65,9700.13697985642
0-13,66,9853.538414008777
0-10,67,10030.541238844993
1-10,68,10181.607449494497
2-10,69,10329.543246379497
3-10,70,10487.05515069152
4-10,71,10636.028302635083
4-15,72,10827.054478851851
6-19,73,11026.854378751726
6-21,74,11227.96877405947
6-20,75,11416.64044654901
5-23,76,11591.042281401744
4-23,77,11766.350581262304
3-22,78,11935.548689998779
0-22,79,12083.017330733004
1-22,80,12245.223989042704
5-22,81,12435.073929785387
4-22,82,12606.018365202279
5-21,83,12785.846060510872
4-21,84,12970.97034308882
3-21,85,13146.004625445163
0-21,86,13310.64058749477
1-21,87,13492.65432324018
4-20,88,13702.704317289215
3-20,89,13899.229124883575
2-20,90,14078.23191815787
0-20,91,14262.210177743073
1-20,92,14444.243141790797
6-18,93,14635.457680986958
5-18,94,14822.449659424537
5-19,95,15024.256497762588
5-10,96,15221.20572979968
6-10,97,15403.792695380469
5-16,98,15599.417335955219
6-16,99,15779.386777805774
5-12,100,15957.518751353478
5-15,101,16144.980747502032
5-13,102,16328.401029913764
5-14,103,16523.10336682835
5-11,104,16721.957584787135
6-11,105,16902.412565322447
1-16,106,17112.260129044305
0-16,107,17277.42973883981
4-16,108,17441.557737669995
2-16,109,17600.705467782616
3-16,110,17780.930327333124
5-20,111,18022.69674352859
2-23,112,18272.95860638428
2-17,113,18526.544883615523
0-17,114,18726.632364483266
1-17,115,18923.875868812305
3-17,116,19130.060252314062
4-17,117,19340.57390982825
1-18,118,19597.410433710662
0-18,119,19813.113933914065
2-18,120,20027.18401589658
3-18,121,20234.644855574817
4-18,122,20440.49431513204
3-19,123,20673.616600639023
2-19,124,20886.454567176952
1-19,125,21089.203179995882
4-19,126,21285.38931610137
0-19,127,21491.971019066565
6-17,128,21734.15070442436
5-17,129,21936.363463665708
2-22,130,22196.41538155904
2-21,131,22440.255493107572
1-8,132,22733.287914521996
