station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,368.6609862987242
3-9,3,543.0112085526691
4-9,4,703.3046893932822
2-8,5,925.070331457151
4-8,6,1109.4585089523473
3-8,7,1278.9253198623305
0-8,8,1472.32128672824
4-7,9,1700.0843214814677
3-7,10,1828.9718693672119
0-7,11,1977.8073490083243
2-7,12,2136.725566969639
1-7,13,2296.6786851011716
6-7,14,2547.37371895705
0-6,15,2661.810140105563
3-6,15,2661.810140105563
4-6,15,2661.810140105563
2-6,15,2661.810140105563
1-6,15,2661.810140105563
2-0,16,2779.842385601765
0-1,17,2901.526402629475
5-4,18,3018.1711624774853
4-4,19,3120.234868073549
1-3,20,3222.043512107344
1-4,21,3320.2034759316316
2-3,21,3320.2034759316316
3-3,21,3320.2034759316316
4-3,21,3320.2034759316316
5-3,21,3320.2034759316316
0-2,22,3415.059124451748
2-2,22,3415.059124451748
3-4,22,3415.059124451748
3-5,22,3415.059124451748
4-5,22,3415.059124451748
0-5,22,3415.059124451748
3-2,22,3415.059124451748
1-2,22,3415.059124451748
2-5,22,3415.059124451748
4-2,22,3415.059124451748
1-5,22,3415.059124451748
5-5,22,3415.059124451748
6-5,22,3415.059124451748
5-2,22,3415.059124451748
6-2,22,3415.059124451748
0-3,22,3415.059124451748
3-1,22,3415.059124451748
6-3,22,3415.059124451748
2-4,22,3415.059124451748
2-1,22,3415.059124451748
5-6,23,3509.7655059314616
6-6,23,3509.7655059314616
0-4,24,3623.374098747953
1-1,25,3740.0488603718795
0-0,26,3849.680060310583
6-4,27,3981.084017633032
4-1,28,4117.506156598817
3-0,29,4245.09925986071
1-0,30,4365.174236437847
6-1,31,4498.890353641421
5-1,32,4620.566152385461
6-12,33,4774.82567397165
5-7,34,4920.0289797191435
6-23,35,5068.268650522879
6-22,36,5222.3400625369195
1-23,37,5379.126541545793
0-23,38,5515.8415736380975
4-0,39,5662.473766556297
5-0,40,5805.6380079016835
6-0,41,5950.706957025885
3-23,42,6107.372205246414
6-9,43,6300.43437140022
5-9,44,6469.342630523331
5-8,45,6656.999231792777
6-8,46,6817.983703093583
6-14,47,6990.703128752656
6-15,48,7147.668092996273
6-13,49,7292.709466404001
4-14,50,7465.498354935643
0-14,51,7620.843132768694
0-15,52,7790.575274686482
3-15,53,7937.425538560947
2-15,54,8085.144867018667
4-12,55,8233.660859423526
3-12,56,8362.222128863432
2-12,57,8487.178121116705
0-12,58,8620.249530517824
4-11,59,8767.816464483398
3-11,60,8892.59627054191
2-11,61,9010.837549290069
0-11,62,9140.490933356972
2-14,63,9290.063658143277
3-14,64,9436.964985570909
4-13,65,9602.461209092777
3-13,66,9755.032503902778
2-13,67,9900.066982562164
0-13,68,10053.468416714522
0-10,69,10230.471241550738
1-10,70,10381.537452200242
2-10,71,10529.473249085242
3-10,72,10686.985153397265
4-10,73,10835.958305340828
4-15,74,11026.984481557596
6-19,75,11226.784381457472
6-21,76,11427.898776765216
6-20,77,11616.570449254756
5-23,78,11790.972284107489
4-23,79,11966.28058396805
3-22,80,12135.478692704524
0-22,81,12282.94733343875
1-22,82,12445.15399174845
5-22,83,12635.003932491132
4-22,84,12805.948367908024
5-21,85,12985.776063216617
4-21,86,13170.900345794566
3-21,87,13345.934628150908
0-21,88,13510.570590200516
1-21,89,13692.584325945925
4-20,90,13902.63431999496
3-20,91,14099.15912758932
2-20,92,14278.161920863615
0-20,93,14462.140180448818
1-20,94,14644.173144496543
6-18,95,14835.387683692703
5-18,96,15022.379662130283
5-19,97,15224.186500468333
5-10,98,15421.135732505425
6-10,99,15603.722698086214
5-16,100,15799.347338660964
6-16,101,15979.316780511519
5-12,102,16157.448754059224
5-15,103,16344.910750207777
5-13,104,16528.33103261951
5-14,105,16723.033369534092
5-11,106,16921.887587492878
6-11,107,17102.34256802819
1-16,108,17312.19013175005
0-16,109,17477.359741545555
4-16,110,17641.48774037574
2-16,111,17800.63547048836
3-16,112,17980.860330038868
5-20,113,18222.626746234335
2-23,114,18472.888609090023
2-17,115,18726.474886321266
0-17,116,18926.56236718901
1-17,117,19123.80587151805
3-17,118,19329.990255019806
4-17,119,19540.50391253399
1-18,120,19797.3404364164
0-18,121,20013.043936619804
2-18,122,20227.11401860232
3-18,123,20434.574858280557
4-18,124,20640.42431783778
3-19,125,20873.546603344763
2-19,126,21086.38456988269
1-19,127,21289.133182701622
4-19,128,21485.31931880711
0-19,129,21691.901021772304
6-17,130,21934.0807071301
5-17,131,22136.293466371448
2-22,132,22396.34538426478
2-21,133,22640.18549581331
1-8,134,22933.217917227736
