station_no,class,Diff
1-9,0,0
0-9,1,186.73242889225213
2-9,2,368.6609862987242
3-9,3,543.0112085526691
4-9,4,703.3046893932822
2-8,5,925.070331457151
4-8,6,1109.4585089523473
3-8,7,1278.9253198623305
0-8,8,1472.32128672824
3-7,9,1699.8073814774227
4-7,9,1699.8073814774227
0-7,10,1850.1889284695524
2-7,11,2009.1071464308673
1-7,12,2169.0602645624
0-0,13,2468.9543401319847
0-1,13,2468.9543401319847
0-2,13,2468.9543401319847
2-2,13,2468.9543401319847
3-4,13,2468.9543401319847
3-5,13,2468.9543401319847
4-5,13,2468.9543401319847
0-5,13,2468.9543401319847
3-2,13,2468.9543401319847
1-2,13,2468.9543401319847
2-5,13,2468.9543401319847
4-2,13,2468.9543401319847
1-5,13,2468.9543401319847
5-5,13,2468.9543401319847
6-5,13,2468.9543401319847
5-2,13,2468.9543401319847
6-2,13,2468.9543401319847
0-3,13,2468.9543401319847
3-1,13,2468.9543401319847
6-3,13,2468.9543401319847
2-4,13,2468.9543401319847
2-1,13,2468.9543401319847
5-6,13,2468.9543401319847
6-6,13,2468.9543401319847
1-4,13,2468.9543401319847
2-3,13,2468.9543401319847
3-3,13,2468.9543401319847
4-3,13,2468.9543401319847
5-3,13,2468.9543401319847
1-3,13,2468.9543401319847
0-4,13,2468.9543401319847
4-4,13,2468.9543401319847
5-4,13,2468.9543401319847
1-1,13,2468.9543401319847
2-0,13,2468.9543401319847
6-4,13,2468.9543401319847
0-6,13,2468.9543401319847
3-6,13,2468.9543401319847
4-6,13,2468.9543401319847
2-6,13,2468.9543401319847
1-6,13,2468.9543401319847
6-7,13,2468.9543401319847
4-1,13,2468.9543401319847
1-0,13,2468.9543401319847
3-0,13,2468.9543401319847
5-1,13,2468.9543401319847
6-1,13,2468.9543401319847
5-7,14,2622.6847804730132
6-12,14,2622.6847804730132
6-23,15,2775.416001818649
6-22,16,2929.4874138326886
0-23,17,3080.346162374184
1-23,17,3080.346162374184
4-0,18,3228.629934821134
5-0,18,3228.629934821134
6-0,19,3376.5848973158913
3-23,20,3533.2501455364204
6-9,21,3726.312311690227
5-9,22,3895.220570813338
5-8,23,4082.8771720827845
6-8,24,4243.8616433835905
6-14,25,4416.581069042663
6-13,26,4581.355207771586
6-15,26,4581.355207771586
4-14,27,4750.313263877006
0-14,28,4905.658041710057
0-15,29,5075.390183627845
3-15,30,5222.2404475023095
2-15,31,5369.95977596003
0-12,32,5517.370128234196
2-12,32,5517.370128234196
3-12,32,5517.370128234196
4-12,32,5517.370128234196
0-11,33,5663.90494460422
2-11,33,5663.90494460422
3-11,33,5663.90494460422
4-11,33,5663.90494460422
2-14,34,5813.412571042568
3-14,35,5960.313898470199
4-13,36,6125.810121992066
2-13,37,6279.346982979767
3-13,37,6279.346982979767
0-13,38,6435.058775228987
0-10,39,6612.061600065203
1-10,40,6763.127810714705
2-10,41,6911.063607599705
3-10,42,7068.575511911728
4-10,43,7217.548663855292
4-15,44,7408.57484007206
6-19,45,7608.374739971935
6-21,46,7809.48913527968
6-20,47,7998.16080776922
5-23,48,8172.562642621953
4-23,49,8347.870942482514
3-22,50,8517.069051218989
0-22,51,8664.537691953214
1-22,52,8826.744350262914
5-22,53,9016.594291005596
4-22,54,9187.538726422488
5-21,55,9367.366421731082
4-21,56,9552.49070430903
3-21,57,9727.524986665372
0-21,58,9892.16094871498
1-21,59,10074.17468446039
4-20,60,10284.224678509425
3-20,61,10480.749486103785
2-20,62,10659.752279378079
0-20,63,10843.730538963282
1-20,64,11025.763503011007
6-18,65,11216.978042207167
5-18,66,11403.970020644747
5-19,67,11605.776858982797
5-10,68,11802.72609101989
6-10,69,11985.313056600678
5-16,70,12180.937697175428
6-16,71,12360.907139025983
5-12,72,12539.039112573688
5-15,73,12726.501108722241
5-13,74,12909.921391133974
5-14,75,13104.623728048557
5-11,76,13303.477946007342
6-11,77,13483.932926542655
1-16,78,13693.780490264515
0-16,79,13858.950100060021
4-16,80,14023.078098890202
2-16,81,14182.225829002824
3-16,82,14362.45068855333
5-20,83,14604.217104748797
2-23,84,14854.478967604487
2-17,85,15108.065244835729
0-17,86,15308.152725703472
1-17,87,15505.396230032513
3-17,88,15711.58061353427
4-17,89,15922.094271048456
1-18,90,16178.930794930866
0-18,91,16394.63429513427
2-18,92,16608.704377116785
3-18,93,16816.165216795023
4-18,94,17022.014676352246
3-19,95,17255.13696185923
2-19,96,17467.974928397158
1-19,97,17670.723541216088
4-19,98,17866.909677321575
0-19,99,18073.49138028677
6-17,100,18315.671065644565
5-17,101,18517.883824885914
2-22,102,18777.935742779246
2-21,103,19021.775854327778
1-8,104,19314.8082757422
