time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
107,500101001,0,17,0,0.0
107,500101002,0,15,0,0.0
107,500101003,2,14,0,1.0
107,500101004,0,11,0,0.0
107,500101005,0,16,0,0.0
107,500101006,0,11,0,0.0
107,500101007,0,11,0,0.0
107,500101008,0,17,0,0.0
107,500101010,0,20,0,0.0
107,500101011,0,7,0,0.0
107,500101012,0,8,0,0.0
107,500101014,1,10,0,1.0
107,500101016,0,8,0,0.0
107,500101015,2,12,0,0.0
107,500101017,0,10,0,0.0
107,500101018,0,5,0,0.0
107,500101019,1,14,0,1.0
107,500101020,0,5,0,0.0
107,500101021,0,7,0,0.0
107,500101023,0,27,0,0.0
107,500101024,21,9,0,0.0
107,500101025,5,7,0,2.0
107,500101026,5,10,0,0.0
107,500101027,0,15,0,0.0
107,500101028,17,3,0,0.0
107,500101029,12,3,0,1.0
107,500101030,6,9,0,-1.0
107,500101031,8,12,0,0.0
107,500101032,7,25,0,-3.0
107,500101033,5,15,0,-2.0
107,500101034,15,3,0,-2.0
107,500101035,2,9,0,0.0
107,500101036,10,10,0,-1.0
107,500101037,1,19,0,0.0
107,500101038,0,27,0,0.0
107,500101039,6,22,0,-1.0
107,500101040,1,24,0,0.0
107,500101041,0,21,0,0.0
107,500101042,3,12,0,-3.0
107,500101091,0,25,0,-1.0
107,500101092,1,12,0,0.0
107,500101093,0,15,0,0.0
107,500106001,0,20,0,0.0
107,500106002,0,20,0,0.0
107,500106003,0,12,0,0.0
107,500106004,2,10,0,1.0
107,500101013,0,9,0,0.0
107,500101009,0,16,4,0.0
107,500101022,1,59,0,-23.0
107,500101094,0,23,0,0.0
107,500119076,3,7,0,1.0
107,500119051,2,25,0,0.0
107,500119066,0,20,0,-1.0
107,500119050,20,0,0,0.0
107,500119062,1,11,0,1.0
107,500119087,8,22,0,1.0
107,500119090,0,20,0,0.0
107,500119064,1,9,0,0.0
107,500119077,18,38,0,-1.0
107,500119085,5,9,0,1.0
107,500119008,0,10,0,0.0
107,500119052,4,9,0,-1.0
107,500119074,0,10,0,-2.0
107,500119075,16,18,0,1.0
107,500119086,4,5,0,1.0
107,500119005,0,37,0,0.0
107,500119072,7,5,0,0.0
107,500119073,1,9,0,1.0
107,500119080,1,9,0,1.0
107,500119009,0,30,0,0.0
107,500119048,1,52,0,0.0
107,500119068,4,6,0,-5.0
107,500119070,0,25,0,0.0
107,500119044,0,10,0,0.0
107,500119054,9,1,0,0.0
107,500119046,3,8,0,0.0
107,500119043,0,42,0,0.0
107,500119078,6,4,0,-1.0
107,500119058,7,2,0,-1.0
107,500119060,1,11,0,1.0
107,500119071,12,7,0,2.0
107,500119079,0,19,0,0.0
107,500119056,0,10,0,0.0
107,500119082,0,10,0,-1.0
107,500119055,5,4,0,4.0
107,500119045,0,13,0,0.0
107,500119069,9,1,0,0.0
107,500119083,4,14,0,0.0
107,500119007,0,18,0,0.0
107,500119047,7,3,0,0.0
107,500119057,2,8,0,-1.0
107,500119061,0,27,0,0.0
107,500119006,0,32,0,0.0
107,500119059,0,20,0,-1.0
107,500119065,0,10,0,0.0
107,500119067,17,9,0,1.0
107,500119088,8,11,0,2.0
107,500119089,1,9,0,0.0
107,500119049,9,20,0,0.0
107,500119063,0,10,0,0.0
107,500119081,1,10,0,1.0
107,500119053,9,10,0,1.0
107,500119084,7,3,0,0.0
107,501201002,25,15,0,-2.0
107,501201003,7,16,0,0.0
107,501201001,9,13,0,0.0
107,501201004,12,3,0,1.0
107,501208001,14,5,0,0.0
107,501208002,10,19,0,0.0
107,501208003,7,17,0,0.0
107,501208004,5,7,0,0.0
107,501207001,29,15,0,-1.0
107,501201005,4,15,0,0.0
107,501201006,7,9,0,0.0
107,501201007,12,7,0,-5.0
107,501201008,10,15,0,0.0
107,501201009,5,15,0,0.0
107,501201010,7,3,0,0.0
107,501207002,7,10,0,0.0
107,501207003,10,15,0,0.0
107,501207004,1,9,0,0.0
107,501207005,8,9,0,0.0
107,501207006,3,12,0,0.0
107,501207007,11,8,0,0.0
107,501208005,9,6,0,-6.0
107,501208006,21,0,0,0.0
107,501208007,8,22,0,0.0
107,501208008,1,16,0,0.0
107,501208009,9,21,0,0.0
107,501208010,7,8,0,0.0
107,501205001,3,14,0,-1.0
107,501203001,10,10,0,0.0
107,501203002,9,14,0,0.0
107,501203003,1,20,0,0.0
107,501203004,3,12,0,-1.0
107,501203005,4,16,0,0.0
107,501203006,10,5,0,2.0
107,501203007,10,5,0,0.0
107,501203008,11,5,0,0.0
107,501201011,17,5,0,0.0
107,501201012,11,7,0,0.0
107,501205002,6,28,0,-1.0
107,501205003,6,13,0,0.0
107,501208011,6,11,0,-1.0
107,501203009,4,10,0,-1.0
107,501207008,10,8,0,0.0
107,501207009,16,4,0,0.0
107,501208012,10,20,0,0.0
107,501207010,1,14,0,-1.0
107,501207011,10,6,0,0.0
107,501207012,2,13,7,0.0
107,501203010,19,13,0,0.0
107,501203011,6,7,0,1.0
107,501203012,10,7,0,0.0
107,501212001,6,10,0,0.0
107,501207013,7,13,0,0.0
107,501207014,6,14,0,0.0
107,501201013,4,18,0,0.0
107,501201014,8,11,0,0.0
107,501207015,11,5,0,0.0
107,501207016,11,15,0,1.0
107,501207017,10,13,0,1.0
107,501207018,1,14,0,0.0
107,501207019,12,6,0,1.0
107,501208013,1,19,0,0.0
107,501208014,5,14,0,0.0
107,501208015,6,9,0,0.0
107,501208016,13,4,0,0.0
107,501207020,9,10,0,0.0
107,501207021,4,11,0,0.0
107,501207022,10,13,0,0.0
107,501203013,6,9,0,0.0
107,501207023,0,16,0,0.0
107,501207024,2,18,0,1.0
107,501207025,2,12,0,0.0
107,501208017,5,10,0,-1.0
107,501203014,3,13,0,0.0
107,501203015,4,8,0,0.0
107,501205004,4,13,0,0.0
107,501205005,2,20,0,0.0
107,501205006,9,8,0,0.0
107,501205007,7,5,0,0.0
107,501207026,1,15,0,-1.0
107,501207027,13,5,0,0.0
107,501208018,5,10,0,0.0
107,501208019,9,7,0,0.0
107,501208020,12,9,0,-1.0
107,501208021,5,12,0,0.0
107,501208022,3,12,0,0.0
107,501208023,19,10,0,0.0
107,501212002,5,8,0,0.0
107,501212003,6,9,0,-1.0
107,501212004,4,12,0,0.0
107,501203016,8,9,0,0.0
107,501203017,25,17,0,0.0
107,501203018,0,14,0,0.0
107,501203019,12,3,0,0.0
107,501203020,7,26,0,-1.0
107,501203021,2,18,0,0.0
107,501203022,9,9,0,-2.0
107,501207030,32,17,0,0.0
107,501205008,3,11,0,0.0
107,501207028,42,14,0,1.0
107,501201015,0,25,0,0.0
107,501205009,0,25,0,0.0
107,501207036,7,8,0,-1.0
107,501207031,12,4,0,-1.0
107,501203023,2,16,0,-1.0
107,501203024,4,13,0,0.0
107,501207032,2,14,0,0.0
107,501202001,10,4,0,0.0
107,501203025,33,18,4,0.0
107,501203026,3,12,0,0.0
107,501212005,8,7,0,0.0
107,501212006,0,15,0,0.0
107,501212007,8,8,0,0.0
107,501212008,7,5,0,0.0
107,501207033,10,11,0,1.0
107,501207034,3,21,0,0.0
107,501207035,11,10,0,0.0
107,501203027,5,10,0,0.0
107,501206001,35,13,0,0.0
107,501206002,3,15,0,-1.0
107,501201016,9,17,0,0.0
107,501203028,0,26,0,-1.0
107,501203029,10,23,0,-1.0
107,501205010,3,11,0,0.0
107,501205011,16,14,0,0.0
107,501203030,11,19,0,0.0
107,501203031,4,13,0,0.0
107,501203032,12,7,0,0.0
107,501203033,2,26,0,0.0
107,501206003,4,40,0,1.0
107,501212009,6,11,0,0.0
107,501202002,4,23,0,0.0
107,501204001,12,13,0,0.0
107,501204002,1,12,0,0.0
107,501206004,3,19,0,0.0
107,501202003,5,25,0,0.0
107,501203034,12,11,0,0.0
107,501203035,13,4,0,0.0
107,501203036,18,12,0,0.0
107,501203037,4,16,0,0.0
107,501203038,7,8,0,0.0
107,501205012,5,15,0,-1.0
107,501202004,12,7,0,2.0
107,501202005,17,9,0,3.0
107,501202006,13,3,0,-1.0
107,501206005,20,14,0,0.0
107,501206006,12,5,0,0.0
107,501202007,9,10,0,-1.0
107,501203039,4,8,0,1.0
107,501203040,0,0,0,0.0
107,501205013,9,12,0,0.0
107,501212010,2,10,0,0.0
107,501209001,14,24,0,0.0
107,501203041,5,20,0,0.0
107,501206007,2,14,0,0.0
107,501202008,4,10,0,0.0
107,501209002,13,7,0,0.0
107,501208024,16,5,0,0.0
107,501212011,14,16,0,0.0
107,501202009,3,13,0,0.0
107,501202010,6,16,0,0.0
107,501207037,11,5,0,0.0
107,501209003,13,1,0,0.0
107,501203042,2,15,0,0.0
107,501205014,6,17,0,0.0
107,501202011,4,11,0,0.0
107,501206008,9,8,0,1.0
107,501207038,12,4,0,0.0
