time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
36,500101001,6,11,0,0.0
36,500101002,0,15,0,0.0
36,500101003,5,11,0,0.0
36,500101004,3,8,0,0.0
36,500101005,3,13,0,0.0
36,500101006,2,9,0,-1.0
36,500101007,3,8,0,0.0
36,500101008,8,9,0,0.0
36,500101010,5,15,0,0.0
36,500101011,2,5,0,0.0
36,500101012,4,4,0,0.0
36,500101014,5,6,0,0.0
36,500101016,2,6,0,0.0
36,500101015,4,10,0,0.0
36,500101017,0,10,0,0.0
36,500101018,5,0,0,0.0
36,500101019,4,11,0,0.0
36,500101020,3,2,0,0.0
36,500101021,5,2,0,0.0
36,500101023,3,24,0,0.0
36,500101024,2,28,0,0.0
36,500101025,2,10,0,0.0
36,500101026,1,14,0,0.0
36,500101027,2,13,0,0.0
36,500101028,1,19,0,0.0
36,500101029,2,13,0,0.0
36,500101030,1,14,0,0.0
36,500101031,5,15,0,0.0
36,500101032,19,13,0,0.0
36,500101033,14,6,0,0.0
36,500101034,1,17,0,0.0
36,500101035,2,9,0,0.0
36,500101036,2,18,0,0.0
36,500101037,10,10,0,0.0
36,500101038,1,26,0,0.0
36,500101039,3,25,0,0.0
36,500101040,2,23,0,0.0
36,500101041,6,15,0,0.0
36,500101042,8,7,0,0.0
36,500101091,6,19,0,0.0
36,500101092,4,9,0,0.0
36,500101093,2,13,0,0.0
36,500106001,6,14,0,0.0
36,500106002,4,16,0,0.0
36,500106003,7,5,0,0.0
36,500106004,2,10,0,0.0
36,500101013,2,7,0,0.0
36,500101009,8,8,4,0.0
36,500101022,29,5,0,0.0
36,500101094,10,13,0,0.0
36,500119076,9,1,0,0.0
36,500119051,0,27,0,0.0
36,500119066,0,20,0,0.0
36,500119050,0,20,0,0.0
36,500119062,2,10,0,0.0
36,500119087,0,30,0,0.0
36,500119090,1,19,0,0.0
36,500119064,2,8,0,0.0
36,500119077,2,54,0,0.0
36,500119085,4,10,0,0.0
36,500119008,1,9,0,0.0
36,500119052,4,12,0,0.0
36,500119074,2,8,0,0.0
36,500119075,1,39,0,0.0
