time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
74,500101001,12,0,0,0.0
74,500101002,0,15,0,0.0
74,500101003,7,9,0,1.0
74,500101004,2,9,0,0.0
74,500101005,2,14,0,0.0
74,500101006,3,8,0,0.0
74,500101007,1,10,0,0.0
74,500101008,8,9,0,0.0
74,500101010,5,15,0,0.0
74,500101011,3,4,0,0.0
74,500101012,4,4,0,0.0
74,500101014,3,8,0,0.0
74,500101016,0,8,0,0.0
74,500101015,4,10,0,0.0
74,500101017,0,10,0,0.0
74,500101018,2,3,0,0.0
74,500101019,3,12,0,0.0
74,500101020,2,3,0,0.0
74,500101021,6,1,0,0.0
74,500101023,3,24,0,-1.0
74,500101024,3,27,0,0.0
74,500101025,0,12,0,0.0
74,500101026,2,13,0,1.0
74,500101027,1,14,0,-1.0
74,500101028,5,15,0,0.0
74,500101029,3,12,0,1.0
74,500101030,2,13,0,0.0
74,500101031,4,16,0,0.0
74,500101032,25,7,0,0.0
74,500101033,13,7,0,0.0
74,500101034,5,13,0,2.0
74,500101035,4,7,0,0.0
74,500101036,2,18,0,0.0
74,500101037,9,11,0,0.0
74,500101038,1,26,0,0.0
74,500101039,4,24,0,0.0
74,500101040,2,23,0,0.0
74,500101041,4,17,0,-1.0
74,500101042,3,12,0,-3.0
74,500101091,0,25,0,0.0
74,500101092,2,11,0,0.0
74,500101093,1,14,0,0.0
74,500106001,7,13,0,0.0
74,500106002,2,18,0,0.0
74,500106003,7,5,0,-1.0
74,500106004,3,9,0,0.0
74,500101013,7,2,0,0.0
74,500101009,7,9,4,0.0
74,500101022,17,43,0,15.0
74,500101094,6,17,0,-1.0
74,500119076,0,10,0,0.0
74,500119051,2,25,0,0.0
74,500119066,1,19,0,0.0
74,500119050,1,19,0,0.0
74,500119062,2,10,0,0.0
74,500119087,1,29,0,0.0
74,500119090,3,17,0,0.0
74,500119064,4,6,0,0.0
74,500119077,4,52,0,0.0
74,500119085,1,13,0,-1.0
74,500119008,2,8,0,1.0
74,500119052,3,13,0,0.0
74,500119074,2,8,0,0.0
74,500119075,2,38,0,1.0
74,500119086,2,8,0,0.0
74,500119005,19,18,0,0.0
74,500119072,0,12,0,0.0
74,500119073,0,10,0,0.0
74,500119080,2,8,0,0.0
74,500119009,16,14,0,0.0
74,500119048,1,52,0,0.0
74,500119068,1,9,0,0.0
74,500119070,4,21,0,-1.0
74,500119044,1,9,0,0.0
74,500119054,3,7,0,0.0
74,500119046,0,11,0,0.0
74,500119043,13,29,0,0.0
74,500119078,2,8,0,0.0
74,500119058,4,6,0,0.0
74,500119060,3,9,0,0.0
74,500119071,2,17,0,0.0
74,500119079,6,13,0,0.0
74,500119056,5,5,0,0.0
74,500119082,2,8,0,0.0
74,500119055,4,6,0,0.0
74,500119045,0,13,0,-1.0
74,500119069,1,9,0,0.0
74,500119083,2,16,0,0.0
74,500119007,8,10,0,-1.0
74,500119047,1,9,0,0.0
74,500119057,1,9,0,0.0
74,500119061,2,25,0,0.0
74,500119006,14,18,0,0.0
74,500119059,2,18,0,0.0
74,500119065,5,5,0,0.0
74,500119067,3,23,0,0.0
74,500119088,2,17,0,0.0
74,500119089,3,7,0,0.0
74,500119049,4,26,0,0.0
74,500119063,1,9,0,0.0
74,500119081,2,9,0,0.0
74,500119053,1,18,0,1.0
74,500119084,1,9,0,0.0
74,501201002,36,4,0,0.0
74,501201003,13,10,0,0.0
74,501201001,9,14,0,-1.0
74,501201004,3,12,0,0.0
74,501208001,5,14,0,0.0
74,501208002,23,6,0,0.0
74,501208003,5,19,0,0.0
74,501208004,2,10,0,0.0
74,501207001,29,15,0,1.0
74,501201005,12,7,0,1.0
74,501201006,6,10,0,0.0
74,501201007,4,15,0,0.0
74,501201008,12,13,0,0.0
74,501201009,10,10,0,1.0
74,501201010,6,4,0,0.0
74,501207002,8,9,0,0.0
74,501207003,7,18,0,1.0
74,501207004,3,7,0,0.0
74,501207005,0,17,0,0.0
74,501207006,2,13,0,-1.0
74,501207007,3,16,0,-1.0
74,501208005,8,7,0,0.0
74,501208006,16,5,0,0.0
74,501208007,14,16,0,0.0
74,501208008,1,16,0,0.0
74,501208009,10,20,0,0.0
74,501208010,5,10,0,0.0
74,501205001,5,12,0,0.0
74,501203001,4,16,0,0.0
74,501203002,2,21,0,0.0
74,501203003,5,16,0,-1.0
74,501203004,5,10,0,0.0
74,501203005,13,7,0,0.0
74,501203006,7,8,0,0.0
74,501203007,9,6,0,0.0
74,501203008,11,5,0,0.0
74,501201011,8,14,0,0.0
74,501201012,0,18,0,0.0
74,501205002,15,19,0,0.0
74,501205003,14,5,0,0.0
74,501208011,8,9,0,0.0
74,501203009,5,9,0,-1.0
74,501207008,13,5,0,0.0
74,501207009,9,11,0,1.0
74,501208012,8,22,0,-1.0
74,501207010,3,12,0,0.0
74,501207011,7,9,0,0.0
74,501207012,2,13,7,-2.0
74,501203010,25,7,0,0.0
74,501203011,9,4,0,1.0
74,501203012,9,8,0,0.0
74,501212001,9,7,0,0.0
74,501207013,9,11,0,0.0
74,501207014,6,14,0,1.0
74,501201013,0,22,0,0.0
74,501201014,6,13,0,1.0
74,501207015,9,7,0,-1.0
74,501207016,9,17,0,1.0
74,501207017,1,22,0,0.0
74,501207018,1,14,0,0.0
74,501207019,5,13,0,2.0
74,501208013,8,12,0,-2.0
74,501208014,0,19,0,-2.0
