time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
80,500101001,7,5,0,-2.0
80,500101002,0,15,0,0.0
80,500101003,5,11,0,0.0
80,500101004,0,11,0,0.0
80,500101005,3,13,0,0.0
80,500101006,2,9,0,-1.0
80,500101007,1,10,0,1.0
80,500101008,8,9,0,0.0
80,500101010,3,17,0,0.0
80,500101011,2,5,0,0.0
80,500101012,0,8,0,0.0
80,500101014,4,7,0,-1.0
80,500101016,0,8,0,0.0
80,500101015,2,12,0,0.0
80,500101017,0,10,0,0.0
80,500101018,1,4,0,0.0
80,500101019,1,14,0,1.0
80,500101020,1,4,0,0.0
80,500101021,1,6,0,0.0
80,500101023,3,24,0,0.0
80,500101024,5,25,0,1.0
80,500101025,5,7,0,1.0
80,500101026,7,8,0,0.0
80,500101027,5,10,0,2.0
80,500101028,7,13,0,1.0
80,500101029,2,13,0,-4.0
80,500101030,7,8,0,0.0
80,500101031,3,17,0,0.0
80,500101032,24,8,0,-1.0
80,500101033,13,7,0,0.0
80,500101034,9,9,0,0.0
80,500101035,4,7,0,0.0
80,500101036,2,18,0,0.0
80,500101037,8,12,0,0.0
80,500101038,2,25,0,0.0
80,500101039,6,22,0,1.0
80,500101040,1,24,0,-1.0
80,500101041,1,20,0,0.0
80,500101042,3,12,0,0.0
80,500101091,0,25,0,0.0
80,500101092,1,12,0,0.0
80,500101093,0,15,0,0.0
80,500106001,6,14,0,-1.0
80,500106002,0,20,0,0.0
80,500106003,7,5,0,0.0
80,500106004,5,7,0,1.0
80,500101013,7,2,0,0.0
80,500101009,3,13,4,-1.0
80,500101022,41,19,0,-3.0
80,500101094,6,17,0,0.0
80,500119076,1,9,0,1.0
80,500119051,2,25,0,1.0
80,500119066,3,17,0,0.0
80,500119050,6,14,0,6.0
80,500119062,2,10,0,0.0
80,500119087,2,28,0,0.0
80,500119090,3,17,0,0.0
80,500119064,1,9,0,-1.0
80,500119077,4,52,0,0.0
80,500119085,3,11,0,1.0
80,500119008,4,6,0,0.0
80,500119052,4,12,0,0.0
80,500119074,5,5,0,1.0
80,500119075,13,27,0,3.0
80,500119086,3,7,0,0.0
80,500119005,18,19,0,0.0
80,500119072,2,10,0,1.0
