time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
81,501203018,0,14,0,0.0
81,501203019,13,2,0,0.0
81,501203020,0,33,0,0.0
81,501203021,4,16,0,0.0
81,501203022,12,6,0,-1.0
81,501207030,24,25,0,-4.0
81,501205008,5,9,0,0.0
81,501207028,26,30,0,0.0
81,501201015,2,23,0,0.0
81,501205009,8,17,0,0.0
81,501207036,5,10,0,1.0
81,501207031,8,8,0,0.0
81,501203023,5,13,0,-1.0
81,501203024,8,9,0,5.0
81,501207032,2,14,0,0.0
81,501202001,10,4,0,0.0
81,501203025,27,24,4,0.0
81,501203026,0,15,0,0.0
81,501212005,8,7,0,-1.0
81,501212006,0,15,0,0.0
81,501212007,6,10,0,0.0
81,501212008,7,5,0,0.0
81,501207033,3,18,0,-2.0
81,501207034,4,20,0,1.0
81,501207035,12,9,0,1.0
81,501203027,6,9,0,0.0
81,501206001,21,27,0,1.0
81,501206002,1,17,0,0.0
81,501201016,15,11,0,0.0
81,501203028,5,21,0,0.0
81,501203029,22,11,0,0.0
81,501205010,2,12,0,0.0
81,501205011,11,19,0,3.0
81,501203030,10,20,0,1.0
81,501203031,1,16,0,0.0
81,501203032,16,3,0,0.0
81,501203033,3,25,0,0.0
81,501206003,0,44,0,-1.0
81,501212009,4,13,0,0.0
81,501202002,13,14,0,0.0
81,501204001,11,14,0,0.0
81,501204002,1,12,0,0.0
81,501206004,5,17,0,0.0
81,501202003,3,27,0,1.0
81,501203034,12,11,0,0.0
81,501203035,11,6,0,0.0
81,501203036,16,14,0,0.0
81,501203037,5,15,0,1.0
81,501203038,7,8,0,0.0
81,501205012,3,17,0,1.0
81,501202004,11,8,0,-8.0
81,501202005,9,17,0,-1.0
81,501202006,10,6,0,0.0
81,501206005,21,13,0,1.0
81,501206006,10,7,0,3.0
81,501202007,11,8,0,0.0
81,501203039,4,8,0,0.0
81,501203040,0,0,0,0.0
81,501205013,10,11,0,-1.0
81,501212010,4,8,0,0.0
81,501209001,18,20,0,0.0
81,501203041,8,17,0,1.0
81,501206007,1,15,0,-1.0
81,501202008,8,6,0,0.0
81,501209002,11,9,0,0.0
81,501208024,21,0,0,1.0
81,501212011,13,17,0,0.0
81,501202009,4,12,0,-1.0
81,501202010,4,18,0,0.0
81,501207037,11,5,0,0.0
81,501209003,10,4,0,0.0
81,501203042,8,9,0,1.0
81,501205014,9,14,0,0.0
81,501202011,5,10,0,0.0
81,501206008,6,11,0,0.0
81,501207038,16,0,0,0.0
81,501207039,2,19,0,0.0
81,501205015,8,1,0,-1.0
81,501203043,35,1,0,0.0
81,501203044,7,22,0,0.0
81,501209004,8,7,0,0.0
81,501207040,1,14,0,0.0
81,501203045,17,0,0,5.0
81,501202012,15,5,0,0.0
81,501209005,4,6,0,0.0
81,501209006,11,7,0,0.0
81,501202013,10,7,0,0.0
81,501202014,12,6,0,0.0
81,501206009,8,9,0,-1.0
81,501206010,6,9,0,0.0
81,501202015,16,0,0,1.0
81,501216001,13,5,0,0.0
81,501216002,4,8,0,0.0
81,501206011,9,5,0,0.0
81,501202016,14,3,0,0.0
81,501212012,3,10,0,0.0
81,501207041,20,15,0,2.0
81,501203046,6,16,0,0.0
81,501202017,11,9,0,-2.0
81,501202018,10,11,0,0.0
81,501209007,9,6,0,0.0
81,501209008,60,26,0,0.0
81,501219001,7,7,0,0.0
81,501209009,4,16,0,0.0
81,501209010,7,7,0,-5.0
81,501207042,8,8,0,1.0
81,501207043,9,9,0,-1.0
81,501219002,11,8,0,0.0
81,501207044,0,21,0,0.0
81,501207045,17,2,1,0.0
81,501207046,6,12,0,-1.0
81,501202019,0,17,0,0.0
81,501202020,13,5,0,2.0
81,501206012,3,17,0,1.0
81,501204003,35,9,0,1.0
81,501202021,25,2,0,0.0
81,501202022,1,13,0,0.0
81,501202023,6,9,0,1.0
81,501202024,10,5,0,1.0
81,501206013,0,18,0,0.0
81,501202025,6,8,0,0.0
81,501202026,11,18,0,0.0
81,501209011,8,7,0,-1.0
81,501209012,9,6,0,1.0
81,501202027,10,5,0,0.0
81,501202028,2,11,0,0.0
81,501209013,2,13,0,0.0
81,501209014,11,1,0,0.0
81,501207047,12,5,0,0.0
81,501209015,11,4,0,0.0
81,501208028,5,10,0,0.0
81,501207057,3,17,0,0.0
81,501209016,6,6,0,0.0
81,501209017,13,0,0,0.0
81,501206024,9,6,0,0.0
81,501206028,5,5,0,0.0
81,501202029,2,18,0,-2.0
81,501216004,15,0,0,0.0
81,501216006,3,14,0,0.0
81,501216008,5,8,0,0.0
81,501207056,6,10,0,0.0
81,501207058,5,12,0,0.0
81,501210002,1,19,0,0.0
81,501208027,3,27,0,0.0
81,501203048,9,7,0,0.0
81,501202030,9,14,0,0.0
81,501206014,5,10,0,0.0
81,501206015,14,36,0,0.0
81,501216007,8,9,0,0.0
81,501209019,7,8,0,3.0
81,501209020,4,16,0,1.0
81,501209021,1,13,0,-6.0
81,501206016,1,17,0,-1.0
81,501206018,10,4,0,0.0
81,501206020,0,17,0,0.0
81,501206023,7,11,0,0.0
81,501206025,7,9,0,-1.0
81,501206027,1,14,0,0.0
81,501206030,8,7,0,0.0
81,501207059,18,1,0,-1.0
81,501210001,0,20,0,0.0
81,501210004,12,13,0,-1.0
81,501210005,16,4,0,0.0
81,501206038,31,6,0,-1.0
81,501206041,3,12,0,0.0
81,501206047,1,14,0,0.0
81,501206050,7,7,0,0.0
81,501210014,3,12,0,0.0
81,501206052,5,9,0,0.0
81,501206053,6,6,0,0.0
81,501210022,11,4,0,0.0
81,501206056,8,2,0,0.0
81,501209024,6,9,0,0.0
81,501206021,8,7,0,0.0
81,501206026,0,18,0,-1.0
81,501210025,4,10,0,-1.0
81,501210029,1,12,0,0.0
81,501210032,8,7,0,0.0
81,501206031,5,15,0,0.0
81,501208026,7,13,0,0.0
81,501208029,6,9,0,0.0
81,501206017,7,33,0,0.0
81,501206019,14,6,0,0.0
81,501222001,2,9,0,0.0
81,501206032,1,59,0,0.0
81,501206033,5,10,0,0.0
81,501206034,13,6,0,0.0
81,501206036,5,13,0,0.0
81,501206037,0,20,0,-1.0
81,501206039,3,16,0,0.0
81,501206040,7,8,0,0.0
81,501219004,11,4,0,0.0
81,501219006,9,15,0,0.0
81,501219007,7,14,0,1.0
81,501219008,11,7,0,0.0
81,501206044,7,9,0,0.0
81,501206045,0,14,0,-1.0
81,501205018,2,16,0,0.0
81,501218001,3,18,0,0.0
81,501218002,5,10,0,0.0
81,501218003,15,3,0,0.0
81,501206048,8,7,0,0.0
81,501206049,3,8,0,0.0
81,501219009,22,0,0,0.0
81,501210010,4,11,0,-1.0
81,501228001,7,7,0,0.0
81,501228002,3,6,0,-1.0
81,501210019,5,20,0,0.0
81,501210023,7,15,0,1.0
