time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
82,500101001,5,7,0,-2.0
82,500101002,0,15,0,0.0
82,500101003,6,10,0,1.0
82,500101004,0,11,0,0.0
82,500101005,1,15,0,-2.0
82,500101006,2,9,0,0.0
82,500101007,0,11,0,-1.0
82,500101008,6,11,0,-2.0
82,500101010,1,19,0,0.0
82,500101011,1,6,0,-1.0
82,500101012,0,8,0,-1.0
82,500101014,7,4,0,3.0
82,500101016,1,7,0,0.0
82,500101015,1,13,0,-2.0
82,500101017,0,10,0,0.0
82,500101018,1,4,0,0.0
82,500101019,1,14,0,0.0
82,500101020,0,5,0,0.0
82,500101021,0,7,0,-2.0
82,500101023,1,26,0,-1.0
82,500101024,6,24,0,0.0
82,500101025,6,6,0,1.0
82,500101026,9,6,0,1.0
82,500101027,10,5,0,2.0
82,500101028,9,11,0,1.0
82,500101029,4,11,0,0.0
82,500101030,1,14,0,-2.0
82,500101031,4,16,0,2.0
82,500101032,23,9,0,1.0
82,500101033,10,10,0,-1.0
82,500101034,13,5,0,3.0
82,500101035,5,6,0,0.0
82,500101036,3,17,0,0.0
82,500101037,8,12,0,0.0
82,500101038,2,25,0,0.0
82,500101039,7,21,0,1.0
82,500101040,0,25,0,0.0
82,500101041,0,21,0,0.0
82,500101042,2,13,0,-2.0
82,500101091,4,21,0,3.0
82,500101092,0,13,0,0.0
82,500101093,1,14,0,0.0
82,500106001,8,12,0,2.0
82,500106002,1,19,0,1.0
82,500106003,6,6,0,0.0
82,500106004,4,8,0,-1.0
82,500101013,7,2,0,0.0
82,500101009,1,15,4,0.0
82,500101022,10,50,0,-17.0
82,500101094,4,19,0,-1.0
82,500119076,3,7,0,1.0
82,500119051,6,21,0,4.0
82,500119066,3,17,0,0.0
82,500119050,15,5,0,6.0
82,500119062,1,11,0,-1.0
82,500119087,0,30,0,-1.0
82,500119090,3,17,0,0.0
82,500119064,1,9,0,1.0
82,500119077,4,52,0,0.0
82,500119085,1,13,0,-2.0
82,500119008,4,6,0,0.0
82,500119052,4,12,0,0.0
82,500119074,6,4,0,1.0
82,500119075,5,35,0,-1.0
82,500119086,4,6,0,1.0
82,500119005,16,21,0,-1.0
82,500119072,4,8,0,2.0
82,500119073,3,7,0,0.0
82,500119080,0,10,0,0.0
82,500119009,7,23,0,-1.0
82,500119048,1,52,0,0.0
82,500119068,1,9,0,0.0
82,500119070,2,23,0,-1.0
82,500119044,5,5,0,2.0
82,500119054,5,5,0,0.0
82,500119046,0,11,0,0.0
82,500119043,6,36,0,1.0
82,500119078,1,9,0,-1.0
82,500119058,1,9,0,0.0
82,500119060,5,7,0,-1.0
82,500119071,1,18,0,-3.0
82,500119079,0,19,0,-1.0
82,500119056,7,3,0,0.0
82,500119082,2,8,0,0.0
82,500119055,7,3,0,1.0
82,500119045,4,9,0,2.0
82,500119069,2,8,0,1.0
82,500119083,4,14,0,1.0
82,500119007,3,15,0,-1.0
82,500119047,2,8,0,0.0
82,500119057,1,9,0,0.0
82,500119061,6,21,0,2.0
82,500119006,12,20,0,0.0
82,500119059,4,16,0,1.0
