time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
122,500101001,0,17,0,0.0
122,500101002,0,15,0,0.0
122,500101003,0,16,0,0.0
122,500101004,0,11,0,0.0
122,500101005,0,16,0,0.0
122,500101006,0,11,0,0.0
122,500101007,0,11,0,0.0
122,500101008,0,17,0,0.0
122,500101010,1,19,0,1.0
122,500101011,0,7,0,0.0
122,500101012,0,8,0,-1.0
122,500101014,1,10,0,0.0
122,500101016,1,7,0,0.0
122,500101015,0,14,0,0.0
122,500101017,0,10,0,0.0
122,500101018,0,5,0,0.0
122,500101019,0,15,0,0.0
122,500101020,0,5,0,0.0
122,500101021,0,7,0,-1.0
122,500101023,1,26,0,0.0
122,500101024,21,9,0,0.0
122,500101025,2,10,0,0.0
122,500101026,4,11,0,0.0
122,500101027,3,12,0,0.0
122,500101028,17,3,0,0.0
122,500101029,11,4,0,-1.0
122,500101030,9,6,0,-1.0
122,500101031,6,14,0,0.0
122,500101032,6,26,0,-2.0
122,500101033,13,7,0,0.0
122,500101034,9,9,0,0.0
122,500101035,2,9,0,1.0
122,500101036,11,9,0,0.0
122,500101037,0,20,0,-2.0
122,500101038,0,27,0,0.0
122,500101039,6,22,0,0.0
122,500101040,0,25,0,0.0
122,500101041,0,21,0,0.0
122,500101042,1,14,0,1.0
122,500101091,0,25,0,0.0
122,500101092,0,13,0,0.0
122,500101093,0,15,0,0.0
122,500106001,0,20,0,0.0
122,500106002,0,20,0,0.0
122,500106003,0,12,0,0.0
122,500106004,2,10,0,1.0
122,500101013,0,9,0,0.0
122,500101009,0,16,4,0.0
122,500101022,0,60,0,0.0
122,500101094,0,23,0,0.0
122,500119076,1,9,0,0.0
122,500119051,3,24,0,1.0
122,500119066,8,12,0,-1.0
122,500119050,8,12,0,0.0
122,500119062,0,12,0,0.0
122,500119087,11,19,0,0.0
122,500119090,7,13,0,5.0
122,500119064,0,10,0,0.0
122,500119077,24,32,0,0.0
122,500119085,2,12,0,-1.0
122,500119008,1,9,0,0.0
122,500119052,9,4,0,0.0
122,500119074,0,10,0,0.0
122,500119075,24,10,0,-1.0
122,500119086,3,7,0,-1.0
122,500119005,0,37,0,0.0
122,500119072,6,6,0,0.0
122,500119073,0,10,0,0.0
122,500119080,0,10,0,0.0
122,500119009,0,30,0,0.0
122,500119048,1,52,0,0.0
122,500119068,6,4,0,-2.0
122,500119070,1,24,0,0.0
122,500119044,4,6,0,1.0
122,500119054,5,5,0,0.0
122,500119046,2,9,0,1.0
122,500119043,1,41,0,0.0
122,500119078,1,9,0,0.0
122,500119058,2,8,0,0.0
122,500119060,0,12,0,0.0
122,500119071,13,6,0,-1.0
122,500119079,8,11,0,-1.0
122,500119056,0,10,0,0.0
122,500119082,0,10,0,0.0
122,500119055,1,9,0,0.0
122,500119045,0,13,0,0.0
122,500119069,6,4,0,0.0
122,500119083,16,2,0,0.0
122,500119007,0,18,0,0.0
122,500119047,6,4,0,-1.0
