week,hour,station_no,rent,lend,time_id
0,0,205,1,1,0-0
0,1,205,0,1,0-1
0,2,205,0,0,0-2
0,3,205,0,0,0-3
0,4,205,0,0,0-4
0,5,205,8,0,0-5
0,6,205,0,1,0-6
0,7,205,1,1,0-7
0,8,205,0,1,0-8
0,9,205,2,3,0-9
0,10,205,0,2,0-10
0,11,205,3,1,0-11
0,12,205,2,1,0-12
0,13,205,3,12,0-13
0,14,205,1,0,0-14
0,15,205,3,0,0-15
0,16,205,3,2,0-16
0,17,205,6,3,0-17
0,18,205,6,2,0-18
0,19,205,10,2,0-19
0,20,205,3,19,0-20
0,21,205,7,3,0-21
0,22,205,2,1,0-22
0,23,205,2,0,0-23
1,0,205,5,2,1-0
1,1,205,1,7,1-1
1,2,205,0,0,1-2
1,3,205,0,0,1-3
1,4,205,0,0,1-4
1,5,205,0,0,1-5
1,6,205,1,5,1-6
1,7,205,1,1,1-7
1,8,205,1,1,1-8
1,9,205,2,2,1-9
1,10,205,1,2,1-10
1,16,205,8,2,1-16
1,17,205,5,5,1-17
1,18,205,4,2,1-18
1,19,205,6,2,1-19
1,20,205,2,0,1-20
1,21,205,3,8,1-21
1,22,205,2,2,1-22
1,23,205,0,0,1-23
2,0,205,0,0,2-0
2,1,205,0,0,2-1
2,2,205,0,0,2-2
2,3,205,0,0,2-3
2,4,205,0,0,2-4
2,5,205,0,1,2-5
2,6,205,0,2,2-6
2,7,205,0,1,2-7
2,8,205,1,1,2-8
2,9,205,1,1,2-9
2,10,205,1,2,2-10
2,11,205,0,1,2-11
2,12,205,3,0,2-12
2,13,205,3,1,2-13
2,14,205,2,1,2-14
2,15,205,0,1,2-15
2,16,205,2,5,2-16
2,17,205,2,1,2-17
2,18,205,7,0,2-18
2,19,205,3,1,2-19
2,20,205,3,14,2-20
2,21,205,3,10,2-21
2,22,205,3,1,2-22
2,23,205,9,0,2-23
3,0,205,0,0,3-0
3,1,205,0,0,3-1
3,2,205,0,0,3-2
3,3,205,0,0,3-3
3,4,205,2,0,3-4
3,5,205,0,0,3-5
3,6,205,0,0,3-6
3,7,205,0,1,3-7
3,8,205,0,3,3-8
3,9,205,0,1,3-9
3,10,205,1,1,3-10
3,11,205,0,1,3-11
3,12,205,0,0,3-12
3,13,205,1,2,3-13
3,14,205,4,0,3-14
3,15,205,0,1,3-15
3,16,205,1,2,3-16
3,17,205,7,1,3-17
3,18,205,7,1,3-18
3,19,205,7,21,3-19
3,20,205,1,1,3-20
3,21,205,5,2,3-21
3,22,205,4,2,3-22
3,23,205,3,0,3-23
4,0,205,1,6,4-0
4,1,205,1,0,4-1
4,2,205,1,0,4-2
4,3,205,0,1,4-3
4,4,205,2,1,4-4
4,5,205,1,0,4-5
4,6,205,0,1,4-6
4,7,205,0,2,4-7
4,8,205,0,1,4-8
4,9,205,0,2,4-9
4,10,205,4,2,4-10
4,11,205,2,1,4-11
4,12,205,2,2,4-12
4,13,205,2,1,4-13
4,14,205,5,2,4-14
4,15,205,5,2,4-15
4,16,205,4,2,4-16
4,17,205,3,2,4-17
4,18,205,3,15,4-18
4,19,205,6,0,4-19
4,20,205,3,2,4-20
4,21,205,2,1,4-21
4,22,205,3,3,4-22
4,23,205,4,1,4-23
5,0,205,2,7,5-0
5,1,205,1,1,5-1
5,2,205,2,0,5-2
5,3,205,0,0,5-3
5,4,205,0,0,5-4
5,5,205,0,0,5-5
5,6,205,0,0,5-6
5,7,205,2,1,5-7
5,8,205,1,1,5-8
5,9,205,1,11,5-9
5,10,205,0,1,5-10
5,11,205,3,1,5-11
5,12,205,0,7,5-12
5,13,205,2,1,5-13
5,14,205,2,4,5-14
5,15,205,2,2,5-15
5,16,205,0,0,5-16
5,17,205,3,2,5-17
5,18,205,5,0,5-18
5,19,205,1,1,5-19
5,20,205,2,0,5-20
5,21,205,3,5,5-21
5,22,205,5,0,5-22
5,23,205,6,1,5-23
6,0,205,1,0,6-0
6,1,205,1,0,6-1
6,2,205,1,0,6-2
6,3,205,0,1,6-3
6,4,205,0,0,6-4
6,5,205,0,1,6-5
6,6,205,0,1,6-6
6,7,205,0,3,6-7
6,8,205,2,1,6-8
6,9,205,3,6,6-9
6,10,205,5,2,6-10
6,11,205,1,3,6-11
6,12,205,0,0,6-12
6,13,205,0,0,6-13
6,14,205,2,1,6-14
6,15,205,2,1,6-15
6,16,205,5,4,6-16
6,17,205,3,5,6-17
6,18,205,0,2,6-18
6,19,205,2,0,6-19
6,20,205,2,7,6-20
6,21,205,2,1,6-21
6,22,205,0,1,6-22
6,23,205,0,0,6-23
