week,hour,station_no,rent,lend,time_id
0,0,351,0,2,0-0
0,1,351,0,1,0-1
0,2,351,2,0,0-2
0,3,351,1,1,0-3
0,4,351,2,0,0-4
0,5,351,2,1,0-5
0,6,351,6,0,0-6
0,7,351,8,8,0-7
0,8,351,10,18,0-8
0,9,351,7,3,0-9
0,10,351,6,4,0-10
0,11,351,2,8,0-11
0,12,351,1,6,0-12
0,13,351,8,2,0-13
0,14,351,6,9,0-14
0,15,351,7,10,0-15
0,16,351,4,10,0-16
0,17,351,15,12,0-17
0,18,351,5,13,0-18
0,19,351,12,4,0-19
0,20,351,6,9,0-20
0,21,351,1,7,0-21
0,22,351,1,1,0-22
0,23,351,14,0,0-23
1,0,351,1,7,1-0
1,1,351,11,7,1-1
1,2,351,1,2,1-2
1,3,351,1,0,1-3
1,4,351,1,0,1-4
1,5,351,4,1,1-5
1,6,351,3,0,1-6
1,7,351,14,18,1-7
1,8,351,20,12,1-8
1,9,351,5,10,1-9
1,10,351,9,7,1-10
1,16,351,11,6,1-16
1,17,351,11,5,1-17
1,18,351,6,15,1-18
1,19,351,3,11,1-19
1,20,351,10,8,1-20
1,21,351,18,8,1-21
1,22,351,0,10,1-22
1,23,351,0,3,1-23
2,0,351,0,3,2-0
2,1,351,1,3,2-1
2,2,351,0,1,2-2
2,3,351,0,1,2-3
2,4,351,2,0,2-4
2,5,351,2,0,2-5
2,6,351,4,0,2-6
2,7,351,6,11,2-7
2,8,351,12,6,2-8
2,9,351,4,2,2-9
2,10,351,8,6,2-10
2,11,351,1,5,2-11
2,12,351,3,9,2-12
2,13,351,6,4,2-13
2,14,351,3,4,2-14
2,15,351,3,7,2-15
2,16,351,15,4,2-16
2,17,351,9,8,2-17
2,18,351,9,10,2-18
2,19,351,1,7,2-19
2,20,351,0,9,2-20
2,21,351,14,8,2-21
2,22,351,2,13,2-22
2,23,351,17,0,2-23
3,0,351,0,1,3-0
3,1,351,1,4,3-1
3,2,351,0,2,3-2
3,3,351,1,0,3-3
3,4,351,0,0,3-4
3,5,351,0,0,3-5
3,6,351,0,0,3-6
3,7,351,5,4,3-7
3,8,351,17,3,3-8
3,9,351,0,15,3-9
3,10,351,5,4,3-10
3,11,351,6,8,3-11
3,12,351,9,7,3-12
3,13,351,11,9,3-13
3,14,351,6,5,3-14
3,15,351,2,6,3-15
3,16,351,6,12,3-16
3,17,351,18,17,3-17
3,18,351,7,15,3-18
3,19,351,4,2,3-19
3,20,351,3,5,3-20
3,21,351,6,4,3-21
3,22,351,5,5,3-22
3,23,351,0,1,3-23
4,0,351,14,2,4-0
4,1,351,0,4,4-1
4,2,351,0,1,4-2
4,3,351,0,1,4-3
4,4,351,1,0,4-4
4,5,351,2,0,4-5
4,6,351,1,0,4-6
4,7,351,3,3,4-7
4,8,351,4,2,4-8
4,9,351,0,1,4-9
4,10,351,4,4,4-10
4,11,351,5,3,4-11
4,12,351,10,8,4-12
4,13,351,3,3,4-13
4,14,351,5,5,4-14
4,15,351,1,3,4-15
4,16,351,8,5,4-16
4,17,351,2,19,4-17
4,18,351,8,8,4-18
4,19,351,16,7,4-19
4,20,351,5,5,4-20
4,21,351,2,11,4-21
4,22,351,1,1,4-22
4,23,351,16,1,4-23
5,0,351,0,3,5-0
5,1,351,2,8,5-1
5,2,351,2,3,5-2
5,3,351,5,1,5-3
5,4,351,7,0,5-4
5,5,351,3,2,5-5
5,6,351,7,0,5-6
5,7,351,6,2,5-7
5,8,351,3,3,5-8
5,9,351,2,16,5-9
5,10,351,7,4,5-10
5,11,351,3,4,5-11
5,12,351,8,9,5-12
5,13,351,6,5,5-13
5,14,351,12,9,5-14
5,15,351,5,6,5-15
5,16,351,6,6,5-16
5,17,351,13,15,5-17
5,18,351,4,3,5-18
5,19,351,4,6,5-19
5,20,351,1,6,5-20
5,21,351,2,5,5-21
5,22,351,2,6,5-22
5,23,351,11,4,5-23
6,0,351,7,6,6-0
6,1,351,2,2,6-1
6,2,351,1,4,6-2
6,3,351,0,2,6-3
6,4,351,9,0,6-4
6,5,351,1,0,6-5
6,6,351,7,0,6-6
6,7,351,3,2,6-7
6,8,351,6,4,6-8
6,9,351,5,14,6-9
6,10,351,4,4,6-10
6,11,351,5,2,6-11
6,12,351,4,3,6-12
6,13,351,5,4,6-13
6,14,351,8,11,6-14
6,15,351,2,9,6-15
6,16,351,20,12,6-16
6,17,351,12,18,6-17
6,18,351,8,7,6-18
6,19,351,2,0,6-19
6,20,351,3,10,6-20
6,21,351,2,9,6-21
6,22,351,20,4,6-22
6,23,351,0,2,6-23
