week,hour,station_no,rent,lend,time_id
0,0,299,2,1,0-0
0,1,299,0,1,0-1
0,2,299,0,0,0-2
0,3,299,0,0,0-3
0,4,299,0,0,0-4
0,5,299,0,0,0-5
0,6,299,3,1,0-6
0,7,299,11,1,0-7
0,8,299,1,1,0-8
0,9,299,2,6,0-9
0,10,299,0,1,0-10
0,11,299,1,3,0-11
0,12,299,1,4,0-12
0,13,299,2,3,0-13
0,14,299,6,1,0-14
0,15,299,8,1,0-15
0,16,299,2,10,0-16
0,17,299,1,10,0-17
0,18,299,6,5,0-18
0,19,299,3,1,0-19
0,20,299,2,2,0-20
0,21,299,1,3,0-21
0,22,299,4,1,0-22
0,23,299,3,0,0-23
1,0,299,2,0,1-0
1,1,299,1,1,1-1
1,2,299,0,0,1-2
1,3,299,2,1,1-3
1,4,299,1,0,1-4
1,5,299,1,0,1-5
1,6,299,0,1,1-6
1,7,299,12,2,1-7
1,8,299,1,6,1-8
1,9,299,4,3,1-9
1,10,299,3,9,1-10
1,16,299,6,2,1-16
1,17,299,3,15,1-17
1,18,299,8,10,1-18
1,19,299,6,5,1-19
1,20,299,1,1,1-20
1,21,299,1,7,1-21
1,22,299,4,0,1-22
1,23,299,0,5,1-23
2,0,299,6,0,2-0
2,1,299,0,0,2-1
2,2,299,0,0,2-2
2,3,299,0,0,2-3
2,4,299,0,0,2-4
2,5,299,1,1,2-5
2,6,299,2,3,2-6
2,7,299,8,0,2-7
2,8,299,4,7,2-8
2,9,299,0,1,2-9
2,10,299,1,0,2-10
2,11,299,1,0,2-11
2,12,299,0,5,2-12
2,13,299,5,3,2-13
2,14,299,4,3,2-14
2,15,299,1,0,2-15
2,16,299,2,3,2-16
2,17,299,7,10,2-17
2,18,299,2,7,2-18
2,19,299,3,2,2-19
2,20,299,2,0,2-20
2,21,299,3,6,2-21
2,22,299,1,4,2-22
2,23,299,5,2,2-23
3,0,299,8,1,3-0
3,1,299,1,2,3-1
3,2,299,0,0,3-2
3,3,299,1,0,3-3
3,4,299,0,0,3-4
3,5,299,1,0,3-5
3,6,299,3,1,3-6
3,7,299,6,0,3-7
3,8,299,2,3,3-8
3,9,299,1,2,3-9
3,10,299,1,3,3-10
3,11,299,1,6,3-11
3,12,299,1,4,3-12
3,13,299,3,2,3-13
3,14,299,3,2,3-14
3,15,299,3,3,3-15
3,16,299,6,7,3-16
3,17,299,17,11,3-17
3,18,299,2,4,3-18
3,19,299,2,3,3-19
3,20,299,1,7,3-20
3,21,299,6,4,3-21
3,22,299,3,0,3-22
3,23,299,0,2,3-23
4,0,299,0,3,4-0
4,1,299,6,1,4-1
4,2,299,1,0,4-2
4,3,299,1,0,4-3
4,4,299,2,0,4-4
4,5,299,1,0,4-5
4,6,299,4,0,4-6
4,7,299,9,3,4-7
4,8,299,1,4,4-8
4,9,299,0,3,4-9
4,10,299,1,0,4-10
4,11,299,1,6,4-11
4,12,299,4,8,4-12
4,13,299,5,4,4-13
4,14,299,13,2,4-14
4,15,299,9,7,4-15
4,16,299,3,4,4-16
4,17,299,5,20,4-17
4,18,299,11,6,4-18
4,19,299,3,5,4-19
4,20,299,4,6,4-20
4,21,299,2,3,4-21
4,22,299,4,1,4-22
4,23,299,2,1,4-23
5,0,299,2,1,5-0
5,1,299,2,2,5-1
5,2,299,0,1,5-2
5,3,299,2,2,5-3
5,4,299,1,0,5-4
5,5,299,1,0,5-5
5,6,299,0,1,5-6
5,7,299,0,1,5-7
5,8,299,2,3,5-8
5,9,299,2,3,5-9
5,10,299,2,8,5-10
5,11,299,3,4,5-11
5,12,299,0,1,5-12
5,13,299,19,1,5-13
5,14,299,0,10,5-14
5,15,299,8,4,5-15
5,16,299,1,4,5-16
5,17,299,3,11,5-17
5,18,299,4,2,5-18
5,19,299,2,2,5-19
5,20,299,4,4,5-20
5,21,299,4,5,5-21
5,22,299,4,2,5-22
5,23,299,3,0,5-23
6,0,299,0,1,6-0
6,1,299,5,0,6-1
6,2,299,0,1,6-2
6,3,299,0,0,6-3
6,4,299,0,2,6-4
6,5,299,1,2,6-5
6,6,299,0,1,6-6
6,7,299,0,2,6-7
6,8,299,8,2,6-8
6,9,299,5,4,6-9
6,10,299,3,6,6-10
6,11,299,2,3,6-11
6,12,299,4,1,6-12
6,13,299,1,4,6-13
6,14,299,1,6,6-14
6,15,299,2,3,6-15
6,16,299,3,1,6-16
6,17,299,5,6,6-17
6,18,299,6,0,6-18
6,19,299,3,1,6-19
6,20,299,0,3,6-20
6,21,299,1,2,6-21
6,22,299,3,2,6-22
6,23,299,1,4,6-23
