week,hour,station_no,rent,lend,time_id
0,0,228,0,2,0-0
0,1,228,0,1,0-1
0,2,228,1,0,0-2
0,3,228,0,0,0-3
0,4,228,0,0,0-4
0,5,228,0,1,0-5
0,6,228,0,3,0-6
0,7,228,1,3,0-7
0,8,228,0,0,0-8
0,9,228,0,0,0-9
0,10,228,2,2,0-10
0,11,228,1,3,0-11
0,12,228,1,3,0-12
0,13,228,2,3,0-13
0,14,228,0,1,0-14
0,15,228,4,2,0-15
0,16,228,3,1,0-16
0,17,228,6,4,0-17
0,18,228,11,4,0-18
0,19,228,3,3,0-19
0,20,228,0,3,0-20
0,21,228,2,2,0-21
0,22,228,2,2,0-22
0,23,228,0,0,0-23
1,0,228,0,0,1-0
1,1,228,8,0,1-1
1,2,228,2,0,1-2
1,3,228,1,0,1-3
1,4,228,0,0,1-4
1,5,228,1,1,1-5
1,6,228,0,1,1-6
1,7,228,0,5,1-7
1,8,228,2,3,1-8
1,9,228,0,0,1-9
1,10,228,3,6,1-10
1,16,228,6,1,1-16
1,17,228,3,2,1-17
1,18,228,2,2,1-18
1,19,228,0,2,1-19
1,20,228,1,5,1-20
1,21,228,3,2,1-21
1,22,228,1,0,1-22
1,23,228,2,1,1-23
2,0,228,0,1,2-0
2,1,228,0,0,2-1
2,2,228,1,0,2-2
2,3,228,0,0,2-3
2,4,228,0,0,2-4
2,5,228,0,1,2-5
2,6,228,0,1,2-6
2,7,228,1,2,2-7
2,8,228,1,0,2-8
2,9,228,0,0,2-9
2,10,228,0,1,2-10
2,11,228,0,1,2-11
2,12,228,0,0,2-12
2,13,228,1,0,2-13
2,14,228,0,0,2-14
2,15,228,1,2,2-15
2,16,228,1,1,2-16
2,17,228,2,4,2-17
2,18,228,3,2,2-18
2,19,228,0,6,2-19
2,20,228,2,0,2-20
2,21,228,3,1,2-21
2,22,228,2,0,2-22
2,23,228,1,0,2-23
3,0,228,1,0,3-0
3,1,228,1,0,3-1
3,2,228,1,0,3-2
3,3,228,0,0,3-3
3,4,228,0,0,3-4
3,5,228,0,1,3-5
3,6,228,0,2,3-6
3,7,228,0,1,3-7
3,8,228,0,0,3-8
3,9,228,0,1,3-9
3,10,228,0,1,3-10
3,11,228,0,1,3-11
3,12,228,3,1,3-12
3,13,228,0,0,3-13
3,14,228,0,1,3-14
3,15,228,1,2,3-15
3,16,228,5,0,3-16
3,17,228,2,2,3-17
3,18,228,1,2,3-18
3,19,228,0,2,3-19
3,20,228,4,4,3-20
3,21,228,2,2,3-21
3,22,228,1,1,3-22
3,23,228,0,1,3-23
4,0,228,0,1,4-0
4,1,228,0,0,4-1
4,2,228,0,0,4-2
4,3,228,0,0,4-3
4,4,228,8,0,4-4
4,5,228,0,1,4-5
4,6,228,0,0,4-6
4,7,228,0,2,4-7
4,8,228,0,0,4-8
4,9,228,0,1,4-9
4,10,228,0,1,4-10
4,11,228,2,2,4-11
4,12,228,0,2,4-12
4,13,228,1,2,4-13
4,14,228,2,0,4-14
4,15,228,4,1,4-15
4,16,228,0,2,4-16
4,17,228,4,0,4-17
4,18,228,2,2,4-18
4,19,228,0,3,4-19
4,20,228,5,2,4-20
4,21,228,2,4,4-21
4,22,228,6,1,4-22
4,23,228,0,6,4-23
5,0,228,1,0,5-0
5,1,228,0,0,5-1
5,2,228,0,3,5-2
5,3,228,1,0,5-3
5,4,228,0,0,5-4
5,5,228,1,0,5-5
5,6,228,3,1,5-6
5,7,228,1,3,5-7
5,8,228,1,2,5-8
5,9,228,3,1,5-9
5,10,228,1,7,5-10
5,11,228,1,4,5-11
5,12,228,1,5,5-12
5,13,228,1,0,5-13
5,14,228,2,4,5-14
5,15,228,12,4,5-15
5,16,228,2,5,5-16
5,17,228,2,6,5-17
5,18,228,5,0,5-18
5,19,228,3,1,5-19
5,20,228,1,6,5-20
5,21,228,2,1,5-21
5,22,228,16,5,5-22
5,23,228,2,0,5-23
6,0,228,0,1,6-0
6,1,228,1,0,6-1
6,2,228,0,0,6-2
6,3,228,1,0,6-3
6,4,228,0,2,6-4
6,5,228,0,2,6-5
6,6,228,2,2,6-6
6,7,228,0,2,6-7
6,8,228,1,3,6-8
6,9,228,3,1,6-9
6,10,228,11,11,6-10
6,11,228,0,2,6-11
6,12,228,1,0,6-12
6,13,228,1,0,6-13
6,14,228,0,2,6-14
6,15,228,0,5,6-15
6,16,228,2,1,6-16
6,17,228,0,3,6-17
6,18,228,3,0,6-18
6,19,228,0,1,6-19
6,20,228,0,2,6-20
6,21,228,1,2,6-21
6,22,228,1,0,6-22
6,23,228,14,2,6-23
