week,hour,station_no,rent,lend,time_id
0,0,23,0,0,0-0
0,1,23,0,0,0-1
0,2,23,0,0,0-2
0,3,23,0,0,0-3
0,4,23,19,0,0-4
0,5,23,1,1,0-5
0,6,23,0,4,0-6
0,7,23,0,4,0-7
0,8,23,5,4,0-8
0,9,23,3,4,0-9
0,10,23,1,5,0-10
0,11,23,5,3,0-11
0,12,23,0,10,0-12
0,13,23,5,3,0-13
0,14,23,4,1,0-14
0,15,23,0,3,0-15
0,16,23,3,3,0-16
0,17,23,8,7,0-17
0,18,23,14,17,0-18
0,19,23,9,4,0-19
0,20,23,12,11,0-20
0,21,23,4,2,0-21
0,22,23,8,4,0-22
0,23,23,0,1,0-23
1,0,23,3,2,1-0
1,1,23,0,0,1-1
1,2,23,0,0,1-2
1,3,23,0,0,1-3
1,4,23,0,0,1-4
1,5,23,0,0,1-5
1,6,23,0,8,1-6
1,7,23,3,11,1-7
1,8,23,23,7,1-8
1,9,23,0,9,1-9
1,10,23,2,4,1-10
1,16,23,8,4,1-16
1,17,23,8,10,1-17
1,18,23,10,2,1-18
1,19,23,15,19,1-19
1,20,23,7,2,1-20
1,21,23,7,8,1-21
1,22,23,14,0,1-22
1,23,23,2,7,1-23
2,0,23,1,2,2-0
2,1,23,0,0,2-1
2,2,23,0,0,2-2
2,3,23,0,0,2-3
2,4,23,0,0,2-4
2,5,23,10,0,2-5
2,6,23,0,7,2-6
2,7,23,2,6,2-7
2,8,23,8,3,2-8
2,9,23,1,8,2-9
2,10,23,1,6,2-10
2,11,23,1,2,2-11
2,12,23,2,2,2-12
2,13,23,2,2,2-13
2,14,23,0,1,2-14
2,15,23,1,2,2-15
2,16,23,2,2,2-16
2,17,23,1,4,2-17
2,18,23,10,12,2-18
2,19,23,5,2,2-19
2,20,23,11,2,2-20
2,21,23,12,8,2-21
2,22,23,16,2,2-22
2,23,23,4,2,2-23
3,0,23,2,1,3-0
3,1,23,12,0,3-1
3,2,23,0,0,3-2
3,3,23,0,0,3-3
3,4,23,0,0,3-4
3,5,23,0,0,3-5
3,6,23,1,3,3-6
3,7,23,5,1,3-7
3,8,23,1,4,3-8
3,9,23,2,4,3-9
3,10,23,1,12,3-10
3,11,23,3,7,3-11
3,12,23,3,4,3-12
3,13,23,3,3,3-13
3,14,23,4,1,3-14
3,15,23,2,6,3-15
3,16,23,3,4,3-16
3,17,23,8,5,3-17
3,18,23,9,10,3-18
3,19,23,4,0,3-19
3,20,23,11,15,3-20
3,21,23,2,2,3-21
3,22,23,14,0,3-22
3,23,23,4,1,3-23
4,0,23,0,0,4-0
4,1,23,0,0,4-1
4,2,23,0,0,4-2
4,3,23,0,0,4-3
4,4,23,0,0,4-4
4,5,23,0,1,4-5
4,6,23,0,4,4-6
4,7,23,10,4,4-7
4,8,23,3,2,4-8
4,9,23,1,4,4-9
4,10,23,3,3,4-10
4,11,23,1,4,4-11
4,12,23,1,4,4-12
4,13,23,4,4,4-13
4,14,23,2,2,4-14
4,15,23,2,3,4-15
4,16,23,6,0,4-16
4,17,23,6,25,4-17
4,18,23,7,9,4-18
4,19,23,9,3,4-19
4,20,23,7,0,4-20
4,21,23,6,12,4-21
4,22,23,10,4,4-22
4,23,23,3,2,4-23
5,0,23,2,0,5-0
5,1,23,2,0,5-1
5,2,23,0,0,5-2
5,3,23,1,1,5-3
5,4,23,0,0,5-4
5,5,23,0,1,5-5
5,6,23,3,2,5-6
5,7,23,1,5,5-7
5,8,23,11,9,5-8
5,9,23,3,3,5-9
5,10,23,3,10,5-10
5,11,23,3,7,5-11
5,12,23,7,5,5-12
5,13,23,3,11,5-13
5,14,23,7,0,5-14
5,15,23,2,9,5-15
5,16,23,12,0,5-16
5,17,23,15,20,5-17
5,18,23,1,3,5-18
5,19,23,2,4,5-19
5,20,23,2,4,5-20
5,21,23,9,1,5-21
5,22,23,7,1,5-22
5,23,23,5,2,5-23
6,0,23,3,2,6-0
6,1,23,2,0,6-1
6,2,23,0,0,6-2
6,3,23,0,0,6-3
6,4,23,1,1,6-4
6,5,23,2,0,6-5
6,6,23,2,2,6-6
6,7,23,3,6,6-7
6,8,23,7,6,6-8
6,9,23,2,9,6-9
6,10,23,3,6,6-10
6,11,23,0,7,6-11
6,12,23,4,0,6-12
6,13,23,4,2,6-13
6,14,23,4,2,6-14
6,15,23,4,3,6-15
6,16,23,2,8,6-16
6,17,23,7,1,6-17
6,18,23,4,13,6-18
6,19,23,6,1,6-19
6,20,23,3,9,6-20
6,21,23,2,1,6-21
6,22,23,3,2,6-22
6,23,23,3,0,6-23
