week,hour,station_no,rent,lend,time_id
0,0,38,2,4,0-0
0,1,38,1,15,0-1
0,2,38,1,2,0-2
0,3,38,0,0,0-3
0,4,38,1,1,0-4
0,5,38,0,0,0-5
0,6,38,0,3,0-6
0,7,38,15,7,0-7
0,8,38,23,12,0-8
0,9,38,22,34,0-9
0,10,38,22,24,0-10
0,11,38,12,6,0-11
0,12,38,15,11,0-12
0,13,38,18,7,0-13
0,14,38,22,20,0-14
0,15,38,1,29,0-15
0,16,38,4,5,0-16
0,17,38,3,4,0-17
0,18,38,7,7,0-18
0,19,38,12,12,0-19
0,20,38,8,5,0-20
0,21,38,6,8,0-21
0,22,38,6,8,0-22
0,23,38,6,0,0-23
1,0,38,2,4,1-0
1,1,38,2,2,1-1
1,2,38,0,1,1-2
1,3,38,1,0,1-3
1,4,38,0,0,1-4
1,5,38,0,1,1-5
1,6,38,2,1,1-6
1,7,38,14,10,1-7
1,8,38,32,24,1-8
1,9,38,23,29,1-9
1,10,38,21,15,1-10
1,16,38,6,11,1-16
1,17,38,11,8,1-17
1,18,38,15,11,1-18
1,19,38,13,8,1-19
1,20,38,6,11,1-20
1,21,38,7,14,1-21
1,22,38,6,6,1-22
1,23,38,4,3,1-23
2,0,38,2,1,2-0
2,1,38,3,2,2-1
2,2,38,1,0,2-2
2,3,38,1,0,2-3
2,4,38,0,1,2-4
2,5,38,0,1,2-5
2,6,38,3,0,2-6
2,7,38,10,6,2-7
2,8,38,33,23,2-8
2,9,38,23,25,2-9
2,10,38,16,22,2-10
2,11,38,14,20,2-11
2,12,38,7,7,2-12
2,13,38,18,3,2-13
2,14,38,13,10,2-14
2,15,38,4,11,2-15
2,16,38,6,17,2-16
2,17,38,8,9,2-17
2,18,38,16,7,2-18
2,19,38,11,9,2-19
2,20,38,7,12,2-20
2,21,38,5,23,2-21
2,22,38,15,19,2-22
2,23,38,7,7,2-23
3,0,38,3,4,3-0
3,1,38,5,2,3-1
3,2,38,0,0,3-2
3,3,38,0,2,3-3
3,4,38,0,0,3-4
3,5,38,0,0,3-5
3,6,38,1,0,3-6
3,7,38,12,2,3-7
3,8,38,21,20,3-8
3,9,38,21,18,3-9
3,10,38,17,17,3-10
3,11,38,7,21,3-11
3,12,38,9,8,3-12
3,13,38,11,10,3-13
3,14,38,11,8,3-14
3,15,38,8,11,3-15
3,16,38,4,7,3-16
3,17,38,8,7,3-17
3,18,38,20,13,3-18
3,19,38,6,7,3-19
3,20,38,14,7,3-20
3,21,38,1,15,3-21
3,22,38,4,5,3-22
3,23,38,6,4,3-23
4,0,38,2,4,4-0
4,1,38,6,2,4-1
4,2,38,2,4,4-2
4,3,38,2,1,4-3
4,4,38,1,0,4-4
4,5,38,0,0,4-5
4,6,38,2,0,4-6
4,7,38,12,1,4-7
4,8,38,25,30,4-8
4,9,38,27,26,4-9
4,10,38,20,27,4-10
4,11,38,5,8,4-11
4,12,38,8,9,4-12
4,13,38,16,5,4-13
4,14,38,19,24,4-14
4,15,38,6,11,4-15
4,16,38,5,8,4-16
4,17,38,9,8,4-17
4,18,38,15,4,4-18
4,19,38,10,9,4-19
4,20,38,10,7,4-20
4,21,38,11,21,4-21
4,22,38,8,13,4-22
4,23,38,4,4,4-23
5,0,38,9,7,5-0
5,1,38,0,3,5-1
5,2,38,6,2,5-2
5,3,38,2,1,5-3
5,4,38,3,2,5-4
5,5,38,1,1,5-5
5,6,38,2,1,5-6
5,7,38,8,3,5-7
5,8,38,16,3,5-8
5,9,38,10,15,5-9
5,10,38,8,15,5-10
5,11,38,11,9,5-11
5,12,38,5,17,5-12
5,13,38,9,10,5-13
5,14,38,11,9,5-14
5,15,38,8,8,5-15
5,16,38,11,6,5-16
5,17,38,5,14,5-17
5,18,38,15,7,5-18
5,19,38,14,3,5-19
5,20,38,6,15,5-20
5,21,38,7,11,5-21
5,22,38,11,10,5-22
5,23,38,5,7,5-23
6,0,38,10,4,6-0
6,1,38,6,2,6-1
6,2,38,5,1,6-2
6,3,38,2,2,6-3
6,4,38,3,0,6-4
6,5,38,0,1,6-5
6,6,38,1,9,6-6
6,7,38,10,1,6-7
6,8,38,12,13,6-8
6,9,38,22,27,6-9
6,10,38,15,11,6-10
6,11,38,8,7,6-11
6,12,38,7,6,6-12
6,13,38,8,7,6-13
6,14,38,16,12,6-14
6,15,38,10,17,6-15
6,16,38,6,25,6-16
6,17,38,10,11,6-17
6,18,38,20,11,6-18
6,19,38,8,1,6-19
6,20,38,3,3,6-20
6,21,38,8,11,6-21
6,22,38,14,5,6-22
6,23,38,5,4,6-23
