week,hour,station_no,rent,lend,time_id
0,0,143,0,5,0-0
0,1,143,0,0,0-1
0,2,143,0,0,0-2
0,3,143,0,0,0-3
0,4,143,10,0,0-4
0,5,143,0,0,0-5
0,6,143,0,1,0-6
0,7,143,1,0,0-7
0,8,143,0,2,0-8
0,9,143,1,1,0-9
0,10,143,3,0,0-10
0,11,143,1,1,0-11
0,12,143,2,3,0-12
0,13,143,4,2,0-13
0,14,143,0,4,0-14
0,15,143,5,6,0-15
0,16,143,12,3,0-16
0,17,143,2,4,0-17
0,18,143,1,11,0-18
0,19,143,2,0,0-19
0,20,143,2,1,0-20
0,21,143,2,2,0-21
0,22,143,0,4,0-22
0,23,143,0,3,0-23
1,0,143,0,5,1-0
1,1,143,14,0,1-1
1,2,143,0,0,1-2
1,3,143,0,0,1-3
1,4,143,0,0,1-4
1,5,143,1,1,1-5
1,6,143,0,0,1-6
1,7,143,0,0,1-7
1,8,143,1,4,1-8
1,9,143,7,8,1-9
1,10,143,4,2,1-10
1,16,143,2,15,1-16
1,17,143,1,1,1-17
1,18,143,18,3,1-18
1,19,143,0,2,1-19
1,20,143,0,1,1-20
1,21,143,0,9,1-21
1,22,143,0,1,1-22
1,23,143,1,3,1-23
2,0,143,13,1,2-0
2,1,143,5,1,2-1
2,2,143,0,0,2-2
2,3,143,0,0,2-3
2,4,143,0,1,2-4
2,5,143,0,0,2-5
2,6,143,0,0,2-6
2,7,143,0,0,2-7
2,8,143,0,3,2-8
2,9,143,0,2,2-9
2,10,143,1,1,2-10
2,11,143,0,1,2-11
2,12,143,4,0,2-12
2,13,143,1,1,2-13
2,14,143,2,1,2-14
2,15,143,2,1,2-15
2,16,143,0,4,2-16
2,17,143,7,3,2-17
2,18,143,1,3,2-18
2,19,143,0,1,2-19
2,20,143,1,4,2-20
2,21,143,1,4,2-21
2,22,143,0,9,2-22
2,23,143,14,3,2-23
3,0,143,0,2,3-0
3,1,143,8,0,3-1
3,2,143,0,0,3-2
3,3,143,0,0,3-3
3,4,143,0,0,3-4
3,5,143,0,0,3-5
3,6,143,0,0,3-6
3,7,143,0,2,3-7
3,8,143,0,2,3-8
3,9,143,1,1,3-9
3,10,143,2,4,3-10
3,11,143,1,1,3-11
3,12,143,1,2,3-12
3,13,143,2,5,3-13
3,14,143,3,1,3-14
3,15,143,2,3,3-15
3,16,143,2,3,3-16
3,17,143,1,2,3-17
3,18,143,2,2,3-18
3,19,143,1,1,3-19
3,20,143,0,5,3-20
3,21,143,2,0,3-21
3,22,143,1,3,3-22
3,23,143,0,0,3-23
4,0,143,13,5,4-0
4,1,143,0,3,4-1
4,2,143,14,0,4-2
4,3,143,0,0,4-3
4,4,143,0,0,4-4
4,5,143,0,0,4-5
4,6,143,1,1,4-6
4,7,143,0,3,4-7
4,8,143,0,2,4-8
4,9,143,0,2,4-9
4,10,143,0,1,4-10
4,11,143,2,1,4-11
4,12,143,4,1,4-12
4,13,143,2,3,4-13
4,14,143,1,0,4-14
4,15,143,2,2,4-15
4,16,143,0,6,4-16
4,17,143,9,7,4-17
4,18,143,4,3,4-18
4,19,143,1,2,4-19
4,20,143,5,0,4-20
4,21,143,2,1,4-21
4,22,143,0,8,4-22
4,23,143,3,8,4-23
5,0,143,1,4,5-0
5,1,143,14,0,5-1
5,2,143,0,0,5-2
5,3,143,0,0,5-3
5,4,143,0,0,5-4
5,5,143,1,0,5-5
5,6,143,2,0,5-6
5,7,143,1,1,5-7
5,8,143,1,4,5-8
5,9,143,3,3,5-9
5,10,143,3,3,5-10
5,11,143,7,3,5-11
5,12,143,12,6,5-12
5,13,143,1,7,5-13
5,14,143,4,10,5-14
5,15,143,12,15,5-15
5,16,143,2,11,5-16
5,17,143,7,3,5-17
5,18,143,6,0,5-18
5,19,143,2,5,5-19
5,20,143,2,2,5-20
5,21,143,1,5,5-21
5,22,143,0,4,5-22
5,23,143,2,1,5-23
6,0,143,13,10,6-0
6,1,143,0,1,6-1
6,2,143,0,0,6-2
6,3,143,14,0,6-3
6,4,143,0,0,6-4
6,5,143,0,0,6-5
6,6,143,0,1,6-6
6,7,143,2,3,6-7
6,8,143,17,13,6-8
6,9,143,5,3,6-9
6,10,143,5,5,6-10
6,11,143,5,2,6-11
6,12,143,0,3,6-12
6,13,143,1,0,6-13
6,14,143,0,0,6-14
6,15,143,1,12,6-15
6,16,143,4,11,6-16
6,17,143,3,6,6-17
6,18,143,0,1,6-18
6,19,143,2,0,6-19
6,20,143,1,0,6-20
6,21,143,0,1,6-21
6,22,143,0,1,6-22
6,23,143,14,5,6-23
