week,hour,station_no,rent,lend,time_id
0,0,271,2,0,0-0
0,1,271,0,1,0-1
0,2,271,0,0,0-2
0,3,271,0,0,0-3
0,4,271,1,9,0-4
0,5,271,1,0,0-5
0,6,271,3,1,0-6
0,7,271,4,10,0-7
0,8,271,8,4,0-8
0,9,271,8,7,0-9
0,10,271,7,6,0-10
0,11,271,9,2,0-11
0,12,271,1,7,0-12
0,13,271,10,4,0-13
0,14,271,9,10,0-14
0,15,271,2,3,0-15
0,16,271,5,3,0-16
0,17,271,7,12,0-17
0,18,271,12,12,0-18
0,19,271,5,9,0-19
0,20,271,7,7,0-20
0,21,271,5,4,0-21
0,22,271,2,3,0-22
0,23,271,4,5,0-23
1,0,271,1,0,1-0
1,1,271,0,1,1-1
1,2,271,0,2,1-2
1,3,271,1,0,1-3
1,4,271,0,1,1-4
1,5,271,1,0,1-5
1,6,271,4,1,1-6
1,7,271,3,1,1-7
1,8,271,20,15,1-8
1,9,271,8,14,1-9
1,10,271,2,2,1-10
1,16,271,7,3,1-16
1,17,271,15,13,1-17
1,18,271,5,16,1-18
1,19,271,10,2,1-19
1,20,271,4,4,1-20
1,21,271,1,9,1-21
1,22,271,6,6,1-22
1,23,271,2,0,1-23
2,0,271,1,0,2-0
2,1,271,1,0,2-1
2,2,271,0,1,2-2
2,3,271,0,0,2-3
2,4,271,1,1,2-4
2,5,271,1,0,2-5
2,6,271,3,0,2-6
2,7,271,4,10,2-7
2,8,271,7,3,2-8
2,9,271,8,14,2-9
2,10,271,2,4,2-10
2,11,271,7,2,2-11
2,12,271,2,5,2-12
2,13,271,4,5,2-13
2,14,271,10,2,2-14
2,15,271,5,10,2-15
2,16,271,2,10,2-16
2,17,271,21,6,2-17
2,18,271,1,11,2-18
2,19,271,9,2,2-19
2,20,271,3,6,2-20
2,21,271,6,3,2-21
2,22,271,7,10,2-22
2,23,271,7,8,2-23
3,0,271,1,10,3-0
3,1,271,1,0,3-1
3,2,271,1,0,3-2
3,3,271,0,0,3-3
3,4,271,0,0,3-4
3,5,271,2,0,3-5
3,6,271,1,0,3-6
3,7,271,4,7,3-7
3,8,271,4,4,3-8
3,9,271,7,3,3-9
3,10,271,4,6,3-10
3,11,271,6,6,3-11
3,12,271,6,8,3-12
3,13,271,5,7,3-13
3,14,271,11,4,3-14
3,15,271,7,6,3-15
3,16,271,7,3,3-16
3,17,271,4,18,3-17
3,18,271,8,5,3-18
3,19,271,12,5,3-19
3,20,271,3,11,3-20
3,21,271,11,1,3-21
3,22,271,1,8,3-22
3,23,271,2,3,3-23
4,0,271,1,3,4-0
4,1,271,0,1,4-1
4,2,271,1,1,4-2
4,3,271,0,0,4-3
4,4,271,0,0,4-4
4,5,271,1,0,4-5
4,6,271,2,1,4-6
4,7,271,8,1,4-7
4,8,271,6,11,4-8
4,9,271,9,2,4-9
4,10,271,4,6,4-10
4,11,271,6,6,4-11
4,12,271,2,12,4-12
4,13,271,17,6,4-13
4,14,271,2,3,4-14
4,15,271,6,2,4-15
4,16,271,6,3,4-16
4,17,271,7,7,4-17
4,18,271,3,15,4-18
4,19,271,5,8,4-19
4,20,271,1,7,4-20
4,21,271,9,4,4-21
4,22,271,5,7,4-22
4,23,271,4,4,4-23
5,0,271,2,5,5-0
5,1,271,3,1,5-1
5,2,271,4,2,5-2
5,3,271,1,1,5-3
5,4,271,0,0,5-4
5,5,271,0,1,5-5
5,6,271,4,3,5-6
5,7,271,2,1,5-7
5,8,271,4,1,5-8
5,9,271,0,3,5-9
5,10,271,3,4,5-10
5,11,271,3,6,5-11
5,12,271,7,6,5-12
5,13,271,5,5,5-13
5,14,271,3,6,5-14
5,15,271,4,3,5-15
5,16,271,7,3,5-16
5,17,271,4,5,5-17
5,18,271,13,3,5-18
5,19,271,6,5,5-19
5,20,271,6,2,5-20
5,21,271,9,5,5-21
5,22,271,4,8,5-22
5,23,271,5,0,5-23
6,0,271,2,2,6-0
6,1,271,0,1,6-1
6,2,271,2,14,6-2
6,3,271,0,2,6-3
6,4,271,2,1,6-4
6,5,271,0,0,6-5
6,6,271,2,1,6-6
6,7,271,1,4,6-7
6,8,271,5,2,6-8
6,9,271,3,4,6-9
6,10,271,3,3,6-10
6,11,271,8,2,6-11
6,12,271,2,4,6-12
6,13,271,7,2,6-13
6,14,271,1,9,6-14
6,15,271,1,8,6-15
6,16,271,5,8,6-16
6,17,271,9,2,6-17
6,18,271,2,5,6-18
6,19,271,11,0,6-19
6,20,271,1,2,6-20
6,21,271,5,3,6-21
6,22,271,1,7,6-22
6,23,271,4,0,6-23
