week,hour,station_no,rent,lend,time_id
0,0,376,2,1,0-0
0,1,376,1,1,0-1
0,2,376,0,0,0-2
0,3,376,0,2,0-3
0,4,376,0,13,0-4
0,5,376,0,1,0-5
0,6,376,1,0,0-6
0,7,376,3,3,0-7
0,8,376,12,3,0-8
0,9,376,18,5,0-9
0,10,376,4,18,0-10
0,11,376,2,8,0-11
0,12,376,0,5,0-12
0,13,376,10,2,0-13
0,14,376,8,3,0-14
0,15,376,4,4,0-15
0,16,376,5,1,0-16
0,17,376,15,4,0-17
0,18,376,3,21,0-18
0,19,376,6,6,0-19
0,20,376,2,0,0-20
0,21,376,2,7,0-21
0,22,376,5,2,0-22
0,23,376,2,2,0-23
1,0,376,2,0,1-0
1,1,376,0,0,1-1
1,2,376,0,0,1-2
1,3,376,1,0,1-3
1,4,376,0,0,1-4
1,5,376,0,1,1-5
1,6,376,4,1,1-6
1,7,376,3,17,1-7
1,8,376,22,0,1-8
1,9,376,8,19,1-9
1,10,376,10,3,1-10
1,16,376,2,2,1-16
1,17,376,24,9,1-17
1,18,376,4,20,1-18
1,19,376,3,4,1-19
1,20,376,5,2,1-20
1,21,376,4,2,1-21
1,22,376,12,1,1-22
1,23,376,3,1,1-23
2,0,376,1,0,2-0
2,1,376,1,14,2-1
2,2,376,0,0,2-2
2,3,376,0,1,2-3
2,4,376,0,0,2-4
2,5,376,0,1,2-5
2,6,376,3,2,2-6
2,7,376,3,5,2-7
2,8,376,10,14,2-8
2,9,376,12,2,2-9
2,10,376,4,3,2-10
2,11,376,6,7,2-11
2,12,376,0,3,2-12
2,13,376,3,1,2-13
2,14,376,12,2,2-14
2,15,376,2,3,2-15
2,16,376,6,0,2-16
2,17,376,1,12,2-17
2,18,376,4,14,2-18
2,19,376,6,7,2-19
2,20,376,3,4,2-20
2,21,376,9,6,2-21
2,22,376,3,5,2-22
2,23,376,6,1,2-23
3,0,376,2,3,3-0
3,1,376,1,0,3-1
3,2,376,1,1,3-2
3,3,376,0,0,3-3
3,4,376,0,0,3-4
3,5,376,1,2,3-5
3,6,376,1,0,3-6
3,7,376,1,3,3-7
3,8,376,16,0,3-8
3,9,376,10,10,3-9
3,10,376,6,14,3-10
3,11,376,3,5,3-11
3,12,376,2,7,3-12
3,13,376,6,1,3-13
3,14,376,1,9,3-14
3,15,376,3,3,3-15
3,16,376,1,2,3-16
3,17,376,28,8,3-17
3,18,376,1,19,3-18
3,19,376,4,6,3-19
3,20,376,3,4,3-20
3,21,376,5,3,3-21
3,22,376,3,4,3-22
3,23,376,5,2,3-23
4,0,376,2,3,4-0
4,1,376,0,2,4-1
4,2,376,1,1,4-2
4,3,376,0,1,4-3
4,4,376,1,0,4-4
4,5,376,0,1,4-5
4,6,376,1,0,4-6
4,7,376,1,3,4-7
4,8,376,8,0,4-8
4,9,376,12,3,4-9
4,10,376,4,4,4-10
4,11,376,0,8,4-11
4,12,376,5,6,4-12
4,13,376,2,1,4-13
4,14,376,1,5,4-14
4,15,376,5,8,4-15
4,16,376,5,2,4-16
4,17,376,2,6,4-17
4,18,376,13,10,4-18
4,19,376,6,4,4-19
4,20,376,2,6,4-20
4,21,376,6,3,4-21
4,22,376,0,4,4-22
4,23,376,1,0,4-23
5,0,376,4,2,5-0
5,1,376,3,0,5-1
5,2,376,1,2,5-2
5,3,376,2,1,5-3
5,4,376,0,0,5-4
5,5,376,1,1,5-5
5,6,376,1,1,5-6
5,7,376,0,4,5-7
5,8,376,3,3,5-8
5,9,376,4,4,5-9
5,10,376,1,3,5-10
5,11,376,5,4,5-11
5,12,376,5,5,5-12
5,13,376,6,4,5-13
5,14,376,9,5,5-14
5,15,376,6,6,5-15
5,16,376,3,11,5-16
5,17,376,7,3,5-17
5,18,376,5,3,5-18
5,19,376,10,3,5-19
5,20,376,5,1,5-20
5,21,376,6,3,5-21
5,22,376,5,2,5-22
5,23,376,4,0,5-23
6,0,376,4,2,6-0
6,1,376,1,0,6-1
6,2,376,1,13,6-2
6,3,376,0,1,6-3
6,4,376,0,0,6-4
6,5,376,0,2,6-5
6,6,376,0,1,6-6
6,7,376,2,1,6-7
6,8,376,2,3,6-8
6,9,376,2,1,6-9
6,10,376,2,0,6-10
6,11,376,2,6,6-11
6,12,376,4,2,6-12
6,13,376,4,1,6-13
6,14,376,5,4,6-14
6,15,376,3,6,6-15
6,16,376,3,3,6-16
6,17,376,4,4,6-17
6,18,376,10,0,6-18
6,19,376,3,15,6-19
6,20,376,2,1,6-20
6,21,376,5,1,6-21
6,22,376,2,4,6-22
6,23,376,4,2,6-23
