week,hour,station_no,rent,lend,time_id
0,0,246,0,0,0-0
0,1,246,0,0,0-1
0,2,246,0,0,0-2
0,3,246,0,0,0-3
0,4,246,0,0,0-4
0,5,246,0,0,0-5
0,6,246,1,0,0-6
0,7,246,0,0,0-7
0,8,246,2,0,0-8
0,9,246,0,1,0-9
0,10,246,0,0,0-10
0,11,246,0,0,0-11
0,12,246,0,1,0-12
0,13,246,1,0,0-13
0,14,246,0,0,0-14
0,15,246,0,1,0-15
0,16,246,0,4,0-16
0,17,246,0,1,0-17
0,18,246,4,0,0-18
0,19,246,0,1,0-19
0,20,246,2,0,0-20
0,21,246,1,0,0-21
0,22,246,0,1,0-22
0,23,246,0,0,0-23
1,0,246,1,0,1-0
1,1,246,0,1,1-1
1,2,246,0,0,1-2
1,3,246,0,0,1-3
1,4,246,0,0,1-4
1,5,246,0,0,1-5
1,6,246,0,0,1-6
1,7,246,2,0,1-7
1,8,246,2,0,1-8
1,9,246,1,0,1-9
1,10,246,0,0,1-10
1,16,246,1,1,1-16
1,17,246,0,7,1-17
1,18,246,1,2,1-18
1,19,246,0,0,1-19
1,20,246,0,1,1-20
1,21,246,1,0,1-21
1,22,246,0,0,1-22
1,23,246,0,0,1-23
2,0,246,4,0,2-0
2,1,246,0,0,2-1
2,2,246,0,0,2-2
2,3,246,0,0,2-3
2,4,246,0,0,2-4
2,5,246,0,0,2-5
2,6,246,0,0,2-6
2,7,246,0,0,2-7
2,8,246,2,1,2-8
2,9,246,0,2,2-9
2,10,246,1,0,2-10
2,11,246,1,2,2-11
2,12,246,1,1,2-12
2,13,246,0,2,2-13
2,14,246,0,0,2-14
2,15,246,0,1,2-15
2,16,246,0,3,2-16
2,17,246,0,1,2-17
2,18,246,0,1,2-18
2,19,246,1,0,2-19
2,20,246,1,0,2-20
2,21,246,2,0,2-21
2,22,246,0,1,2-22
2,23,246,0,0,2-23
3,0,246,1,0,3-0
3,1,246,1,0,3-1
3,2,246,0,0,3-2
3,3,246,0,0,3-3
3,4,246,0,0,3-4
3,5,246,0,0,3-5
3,6,246,0,0,3-6
3,7,246,0,0,3-7
3,8,246,0,0,3-8
3,9,246,0,0,3-9
3,10,246,1,1,3-10
3,11,246,2,0,3-11
3,12,246,0,0,3-12
3,13,246,1,0,3-13
3,14,246,0,1,3-14
3,15,246,0,2,3-15
3,16,246,0,4,3-16
3,17,246,1,3,3-17
3,18,246,0,1,3-18
3,19,246,0,0,3-19
3,20,246,1,0,3-20
3,21,246,1,1,3-21
3,22,246,0,0,3-22
3,23,246,1,1,3-23
4,0,246,2,0,4-0
4,1,246,0,0,4-1
4,2,246,0,0,4-2
4,3,246,0,0,4-3
4,4,246,0,0,4-4
4,5,246,1,0,4-5
4,6,246,0,0,4-6
4,7,246,0,0,4-7
4,8,246,1,0,4-8
4,9,246,0,0,4-9
4,10,246,0,0,4-10
4,11,246,0,1,4-11
4,12,246,3,0,4-12
4,13,246,2,2,4-13
4,14,246,2,0,4-14
4,15,246,0,1,4-15
4,16,246,0,3,4-16
4,17,246,1,2,4-17
4,18,246,1,2,4-18
4,19,246,0,0,4-19
4,20,246,0,0,4-20
4,21,246,0,0,4-21
4,22,246,0,0,4-22
4,23,246,1,0,4-23
5,0,246,1,0,5-0
5,1,246,0,0,5-1
5,2,246,0,0,5-2
5,3,246,0,0,5-3
5,4,246,0,0,5-4
5,5,246,0,0,5-5
5,6,246,1,0,5-6
5,7,246,0,0,5-7
5,8,246,2,2,5-8
5,9,246,3,0,5-9
5,10,246,2,3,5-10
5,11,246,4,1,5-11
5,12,246,3,0,5-12
5,13,246,4,2,5-13
5,14,246,5,3,5-14
5,15,246,0,8,5-15
5,16,246,2,5,5-16
5,17,246,1,8,5-17
5,18,246,2,1,5-18
5,19,246,5,2,5-19
5,20,246,1,0,5-20
5,21,246,3,4,5-21
5,22,246,0,1,5-22
5,23,246,2,0,5-23
6,0,246,0,0,6-0
6,1,246,3,0,6-1
6,2,246,0,0,6-2
6,3,246,0,0,6-3
6,4,246,0,0,6-4
6,5,246,0,0,6-5
6,6,246,1,2,6-6
6,7,246,0,0,6-7
6,8,246,2,0,6-8
6,9,246,9,0,6-9
6,10,246,1,2,6-10
6,11,246,4,1,6-11
6,12,246,1,0,6-12
6,13,246,2,1,6-13
6,14,246,0,4,6-14
6,15,246,1,5,6-15
6,16,246,2,1,6-16
6,17,246,0,7,6-17
6,18,246,2,2,6-18
6,19,246,0,0,6-19
6,20,246,0,0,6-20
6,21,246,1,0,6-21
6,22,246,2,0,6-22
6,23,246,0,0,6-23
