week,hour,station_no,rent,lend,time_id
0,0,80,5,14,0-0
0,1,80,0,0,0-1
0,2,80,0,2,0-2
0,3,80,1,1,0-3
0,4,80,0,0,0-4
0,5,80,2,1,0-5
0,6,80,3,2,0-6
0,7,80,17,12,0-7
0,8,80,6,18,0-8
0,9,80,8,4,0-9
0,10,80,7,1,0-10
0,11,80,4,5,0-11
0,12,80,3,13,0-12
0,13,80,8,4,0-13
0,14,80,4,9,0-14
0,15,80,4,4,0-15
0,16,80,8,3,0-16
0,17,80,5,10,0-17
0,18,80,10,4,0-18
0,19,80,8,6,0-19
0,20,80,3,5,0-20
0,21,80,6,3,0-21
0,22,80,6,2,0-22
0,23,80,6,1,0-23
1,0,80,4,4,1-0
1,1,80,0,14,1-1
1,2,80,0,0,1-2
1,3,80,0,0,1-3
1,4,80,0,0,1-4
1,5,80,0,1,1-5
1,6,80,4,3,1-6
1,7,80,23,6,1-7
1,8,80,11,15,1-8
1,9,80,5,3,1-9
1,10,80,5,0,1-10
1,16,80,6,10,1-16
1,17,80,5,13,1-17
1,18,80,15,2,1-18
1,19,80,16,2,1-19
1,20,80,5,12,1-20
1,21,80,2,10,1-21
1,22,80,13,15,1-22
1,23,80,7,1,1-23
2,0,80,1,0,2-0
2,1,80,0,14,2-1
2,2,80,0,0,2-2
2,3,80,0,0,2-3
2,4,80,0,2,2-4
2,5,80,1,2,2-5
2,6,80,5,2,2-6
2,7,80,22,10,2-7
2,8,80,6,15,2-8
2,9,80,5,2,2-9
2,10,80,2,0,2-10
2,11,80,1,4,2-11
2,12,80,1,4,2-12
2,13,80,5,4,2-13
2,14,80,1,3,2-14
2,15,80,1,6,2-15
2,16,80,9,3,2-16
2,17,80,7,12,2-17
2,18,80,5,4,2-18
2,19,80,7,9,2-19
2,20,80,6,5,2-20
2,21,80,6,7,2-21
2,22,80,9,5,2-22
2,23,80,8,2,2-23
3,0,80,2,2,3-0
3,1,80,2,7,3-1
3,2,80,0,0,3-2
3,3,80,2,0,3-3
3,4,80,0,0,3-4
3,5,80,1,1,3-5
3,6,80,4,4,3-6
3,7,80,23,5,3-7
3,8,80,3,16,3-8
3,9,80,8,6,3-9
3,10,80,4,2,3-10
3,11,80,4,1,3-11
3,12,80,4,15,3-12
3,13,80,6,3,3-13
3,14,80,1,13,3-14
3,15,80,3,3,3-15
3,16,80,9,5,3-16
3,17,80,14,15,3-17
3,18,80,10,8,3-18
3,19,80,5,7,3-19
3,20,80,7,5,3-20
3,21,80,2,7,3-21
3,22,80,9,1,3-22
3,23,80,7,1,3-23
4,0,80,6,14,4-0
4,1,80,4,5,4-1
4,2,80,1,1,4-2
4,3,80,2,1,4-3
4,4,80,2,0,4-4
4,5,80,1,2,4-5
4,6,80,6,2,4-6
4,7,80,12,2,4-7
4,8,80,5,16,4-8
4,9,80,5,4,4-9
4,10,80,15,1,4-10
4,11,80,5,17,4-11
4,12,80,4,9,4-12
4,13,80,7,5,4-13
4,14,80,3,2,4-14
4,15,80,2,9,4-15
4,16,80,10,15,4-16
4,17,80,9,8,4-17
4,18,80,3,4,4-18
4,19,80,9,7,4-19
4,20,80,7,5,4-20
4,21,80,4,2,4-21
4,22,80,7,9,4-22
4,23,80,8,3,4-23
5,0,80,4,2,5-0
5,1,80,2,0,5-1
5,2,80,2,2,5-2
5,3,80,1,0,5-3
5,4,80,0,1,5-4
5,5,80,0,2,5-5
5,6,80,5,2,5-6
5,7,80,7,2,5-7
5,8,80,3,3,5-8
5,9,80,5,5,5-9
5,10,80,3,15,5-10
5,11,80,3,3,5-11
5,12,80,5,8,5-12
5,13,80,7,12,5-13
5,14,80,4,4,5-14
5,15,80,4,1,5-15
5,16,80,12,4,5-16
5,17,80,8,6,5-17
5,18,80,9,7,5-18
5,19,80,6,8,5-19
5,20,80,8,1,5-20
5,21,80,7,17,5-21
5,22,80,7,3,5-22
5,23,80,6,15,5-23
6,0,80,7,2,6-0
6,1,80,5,2,6-1
6,2,80,4,0,6-2
6,3,80,1,1,6-3
6,4,80,0,0,6-4
6,5,80,0,2,6-5
6,6,80,3,2,6-6
6,7,80,4,2,6-7
6,8,80,2,3,6-8
6,9,80,8,4,6-9
6,10,80,5,9,6-10
6,11,80,2,14,6-11
6,12,80,4,2,6-12
6,13,80,8,3,6-13
6,14,80,6,8,6-14
6,15,80,9,4,6-15
6,16,80,5,8,6-16
6,17,80,12,7,6-17
6,18,80,2,13,6-18
6,19,80,6,6,6-19
6,20,80,5,2,6-20
6,21,80,4,3,6-21
6,22,80,7,2,6-22
6,23,80,5,2,6-23
