week,hour,station_no,rent,lend,time_id
0,0,238,0,1,0-0
0,1,238,0,0,0-1
0,2,238,0,0,0-2
0,3,238,0,0,0-3
0,4,238,1,0,0-4
0,5,238,0,0,0-5
0,6,238,2,0,0-6
0,7,238,2,10,0-7
0,8,238,5,3,0-8
0,9,238,22,7,0-9
0,10,238,13,23,0-10
0,11,238,5,3,0-11
0,12,238,5,9,0-12
0,13,238,13,2,0-13
0,14,238,4,6,0-14
0,15,238,4,12,0-15
0,16,238,14,5,0-16
0,17,238,25,29,0-17
0,18,238,0,13,0-18
0,19,238,1,0,0-19
0,20,238,8,3,0-20
0,21,238,0,5,0-21
0,22,238,4,5,0-22
0,23,238,7,4,0-23
1,0,238,3,1,1-0
1,1,238,0,0,1-1
1,2,238,0,0,1-2
1,3,238,0,0,1-3
1,4,238,0,0,1-4
1,5,238,0,0,1-5
1,6,238,3,0,1-6
1,7,238,5,13,1-7
1,8,238,38,33,1-8
1,9,238,22,11,1-9
1,10,238,12,16,1-10
1,16,238,7,8,1-16
1,17,238,21,33,1-17
1,18,238,7,14,1-18
1,19,238,2,4,1-19
1,20,238,11,7,1-20
1,21,238,12,5,1-21
1,22,238,2,4,1-22
1,23,238,1,7,1-23
2,0,238,0,0,2-0
2,1,238,0,0,2-1
2,2,238,0,0,2-2
2,3,238,1,0,2-3
2,4,238,0,0,2-4
2,5,238,0,0,2-5
2,6,238,4,0,2-6
2,7,238,14,1,2-7
2,8,238,18,28,2-8
2,9,238,27,29,2-9
2,10,238,7,10,2-10
2,11,238,6,3,2-11
2,12,238,5,7,2-12
2,13,238,9,3,2-13
2,14,238,3,4,2-14
2,15,238,10,5,2-15
2,16,238,1,7,2-16
2,17,238,25,21,2-17
2,18,238,4,18,2-18
2,19,238,13,3,2-19
2,20,238,11,9,2-20
2,21,238,0,10,2-21
2,22,238,1,11,2-22
2,23,238,12,4,2-23
3,0,238,1,0,3-0
3,1,238,0,0,3-1
3,2,238,0,0,3-2
3,3,238,0,0,3-3
3,4,238,0,0,3-4
3,5,238,0,0,3-5
3,6,238,2,1,3-6
3,7,238,6,12,3-7
3,8,238,26,25,3-8
3,9,238,24,18,3-9
3,10,238,12,5,3-10
3,11,238,1,9,3-11
3,12,238,4,4,3-12
3,13,238,7,4,3-13
3,14,238,4,7,3-14
3,15,238,10,3,3-15
3,16,238,2,9,3-16
3,17,238,20,24,3-17
3,18,238,2,4,3-18
3,19,238,2,2,3-19
3,20,238,13,4,3-20
3,21,238,1,10,3-21
3,22,238,2,3,3-22
3,23,238,7,5,3-23
4,0,238,3,1,4-0
4,1,238,0,0,4-1
4,2,238,1,1,4-2
4,3,238,1,0,4-3
4,4,238,0,0,4-4
4,5,238,0,0,4-5
4,6,238,3,1,4-6
4,7,238,7,0,4-7
4,8,238,5,17,4-8
4,9,238,13,10,4-9
4,10,238,6,9,4-10
4,11,238,7,4,4-11
4,12,238,3,8,4-12
4,13,238,7,1,4-13
4,14,238,5,3,4-14
4,15,238,3,6,4-15
4,16,238,23,6,4-16
4,17,238,9,23,4-17
4,18,238,5,13,4-18
4,19,238,1,1,4-19
4,20,238,3,1,4-20
4,21,238,1,2,4-21
4,22,238,3,2,4-22
4,23,238,3,3,4-23
5,0,238,0,2,5-0
5,1,238,0,0,5-1
5,2,238,0,0,5-2
5,3,238,1,0,5-3
5,4,238,0,0,5-4
5,5,238,1,0,5-5
5,6,238,2,0,5-6
5,7,238,0,4,5-7
5,8,238,3,1,5-8
5,9,238,4,0,5-9
5,10,238,9,1,5-10
5,11,238,3,2,5-11
5,12,238,3,1,5-12
5,13,238,3,5,5-13
5,14,238,3,2,5-14
5,15,238,2,0,5-15
5,16,238,1,5,5-16
5,17,238,3,3,5-17
5,18,238,3,5,5-18
5,19,238,3,2,5-19
5,20,238,0,3,5-20
5,21,238,2,2,5-21
5,22,238,2,2,5-22
5,23,238,0,2,5-23
6,0,238,0,1,6-0
6,1,238,1,0,6-1
6,2,238,0,0,6-2
6,3,238,0,0,6-3
6,4,238,2,0,6-4
6,5,238,0,0,6-5
6,6,238,0,0,6-6
6,7,238,0,4,6-7
6,8,238,2,1,6-8
6,9,238,4,1,6-9
6,10,238,5,1,6-10
6,11,238,4,0,6-11
6,12,238,1,0,6-12
6,13,238,4,13,6-13
6,14,238,3,0,6-14
6,15,238,3,2,6-15
6,16,238,1,3,6-16
6,17,238,4,3,6-17
6,18,238,3,2,6-18
6,19,238,2,3,6-19
6,20,238,0,1,6-20
6,21,238,0,1,6-21
6,22,238,3,2,6-22
6,23,238,0,5,6-23
