week,hour,station_no,rent,lend,time_id
0,0,52,2,2,0-0
0,1,52,0,1,0-1
0,2,52,1,0,0-2
0,3,52,0,1,0-3
0,4,52,0,0,0-4
0,5,52,1,0,0-5
0,6,52,0,4,0-6
0,7,52,13,14,0-7
0,8,52,4,2,0-8
0,9,52,18,10,0-9
0,10,52,8,7,0-10
0,11,52,5,6,0-11
0,12,52,2,8,0-12
0,13,52,6,4,0-13
0,14,52,3,4,0-14
0,15,52,11,9,0-15
0,16,52,23,11,0-16
0,17,52,4,13,0-17
0,18,52,18,21,0-18
0,19,52,3,10,0-19
0,20,52,13,10,0-20
0,21,52,10,4,0-21
0,22,52,6,3,0-22
0,23,52,5,6,0-23
1,0,52,1,7,1-0
1,1,52,1,0,1-1
1,2,52,0,1,1-2
1,3,52,0,1,1-3
1,4,52,0,0,1-4
1,5,52,2,0,1-5
1,6,52,2,4,1-6
1,7,52,7,9,1-7
1,8,52,23,12,1-8
1,9,52,10,20,1-9
1,10,52,10,3,1-10
1,16,52,11,6,1-16
1,17,52,5,18,1-17
1,18,52,21,18,1-18
1,19,52,15,10,1-19
1,20,52,2,6,1-20
1,21,52,5,8,1-21
1,22,52,9,2,1-22
1,23,52,8,17,1-23
2,0,52,1,1,2-0
2,1,52,1,2,2-1
2,2,52,0,2,2-2
2,3,52,0,0,2-3
2,4,52,0,1,2-4
2,5,52,1,0,2-5
2,6,52,2,5,2-6
2,7,52,11,3,2-7
2,8,52,15,18,2-8
2,9,52,13,13,2-9
2,10,52,3,4,2-10
2,11,52,10,7,2-11
2,12,52,5,7,2-12
2,13,52,9,6,2-13
2,14,52,9,6,2-14
2,15,52,6,3,2-15
2,16,52,5,7,2-16
2,17,52,17,11,2-17
2,18,52,1,21,2-18
2,19,52,6,5,2-19
2,20,52,15,4,2-20
2,21,52,2,10,2-21
2,22,52,6,4,2-22
2,23,52,6,2,2-23
3,0,52,5,5,3-0
3,1,52,0,2,3-1
3,2,52,1,0,3-2
3,3,52,0,1,3-3
3,4,52,0,0,3-4
3,5,52,0,0,3-5
3,6,52,0,5,3-6
3,7,52,9,2,3-7
3,8,52,10,10,3-8
3,9,52,15,8,3-9
3,10,52,3,5,3-10
3,11,52,3,3,3-11
3,12,52,5,7,3-12
3,13,52,4,5,3-13
3,14,52,7,0,3-14
3,15,52,4,7,3-15
3,16,52,10,15,3-16
3,17,52,19,23,3-17
3,18,52,4,9,3-18
3,19,52,12,7,3-19
3,20,52,7,5,3-20
3,21,52,3,6,3-21
3,22,52,10,3,3-22
3,23,52,6,2,3-23
4,0,52,0,0,4-0
4,1,52,3,0,4-1
4,2,52,0,0,4-2
4,3,52,0,7,4-3
4,4,52,1,1,4-4
4,5,52,0,0,4-5
4,6,52,1,5,4-6
4,7,52,11,3,4-7
4,8,52,14,17,4-8
4,9,52,11,10,4-9
4,10,52,5,4,4-10
4,11,52,1,4,4-11
4,12,52,6,4,4-12
4,13,52,10,3,4-13
4,14,52,6,7,4-14
4,15,52,2,6,4-15
4,16,52,9,3,4-16
4,17,52,3,24,4-17
4,18,52,23,7,4-18
4,19,52,9,4,4-19
4,20,52,2,20,4-20
4,21,52,12,12,4-21
4,22,52,9,7,4-22
4,23,52,1,4,4-23
5,0,52,3,4,5-0
5,1,52,11,0,5-1
5,2,52,1,1,5-2
5,3,52,1,1,5-3
5,4,52,0,2,5-4
5,5,52,0,0,5-5
5,6,52,1,5,5-6
5,7,52,1,4,5-7
5,8,52,12,0,5-8
5,9,52,8,2,5-9
5,10,52,4,15,5-10
5,11,52,6,6,5-11
5,12,52,6,13,5-12
5,13,52,3,4,5-13
5,14,52,13,0,5-14
5,15,52,4,10,5-15
5,16,52,2,11,5-16
5,17,52,2,2,5-17
5,18,52,4,3,5-18
5,19,52,17,3,5-19
5,20,52,7,2,5-20
5,21,52,12,4,5-21
5,22,52,6,11,5-22
5,23,52,6,8,5-23
6,0,52,3,3,6-0
6,1,52,1,0,6-1
6,2,52,0,2,6-2
6,3,52,2,0,6-3
6,4,52,0,0,6-4
6,5,52,1,0,6-5
6,6,52,0,11,6-6
6,7,52,2,8,6-7
6,8,52,9,6,6-8
6,9,52,6,8,6-9
6,10,52,1,4,6-10
6,11,52,4,5,6-11
6,12,52,3,1,6-12
6,13,52,5,3,6-13
6,14,52,3,8,6-14
6,15,52,8,2,6-15
6,16,52,7,5,6-16
6,17,52,3,5,6-17
6,18,52,6,1,6-18
6,19,52,3,6,6-19
6,20,52,7,1,6-20
6,21,52,3,1,6-21
6,22,52,7,4,6-22
6,23,52,4,13,6-23
