week,hour,station_no,rent,lend,time_id
0,0,274,9,0,0-0
0,1,274,0,0,0-1
0,2,274,0,0,0-2
0,3,274,0,0,0-3
0,4,274,0,0,0-4
0,5,274,0,2,0-5
0,6,274,1,3,0-6
0,7,274,1,0,0-7
0,8,274,2,7,0-8
0,9,274,13,12,0-9
0,10,274,7,4,0-10
0,11,274,1,4,0-11
0,12,274,1,4,0-12
0,13,274,0,2,0-13
0,14,274,4,4,0-14
0,15,274,10,4,0-15
0,16,274,5,2,0-16
0,17,274,5,4,0-17
0,18,274,1,8,0-18
0,19,274,2,1,0-19
0,20,274,2,0,0-20
0,21,274,5,0,0-21
0,22,274,0,2,0-22
0,23,274,0,1,0-23
1,0,274,0,0,1-0
1,1,274,0,1,1-1
1,2,274,0,0,1-2
1,3,274,0,0,1-3
1,4,274,0,0,1-4
1,5,274,0,0,1-5
1,6,274,0,3,1-6
1,7,274,0,5,1-7
1,8,274,1,12,1-8
1,9,274,0,2,1-9
1,10,274,15,1,1-10
1,16,274,1,4,1-16
1,17,274,0,3,1-17
1,18,274,0,7,1-18
1,19,274,5,3,1-19
1,20,274,2,3,1-20
1,21,274,1,4,1-21
1,22,274,1,0,1-22
1,23,274,0,1,1-23
2,0,274,0,1,2-0
2,1,274,0,0,2-1
2,2,274,0,0,2-2
2,3,274,0,0,2-3
2,4,274,0,0,2-4
2,5,274,0,0,2-5
2,6,274,0,4,2-6
2,7,274,1,0,2-7
2,8,274,1,1,2-8
2,9,274,11,1,2-9
2,10,274,0,1,2-10
2,11,274,1,0,2-11
2,12,274,2,4,2-12
2,13,274,4,3,2-13
2,14,274,0,1,2-14
2,15,274,1,1,2-15
2,16,274,1,2,2-16
2,17,274,1,3,2-17
2,18,274,2,4,2-18
2,19,274,6,3,2-19
2,20,274,2,0,2-20
2,21,274,2,1,2-21
2,22,274,0,4,2-22
2,23,274,0,2,2-23
3,0,274,14,0,3-0
3,1,274,0,0,3-1
3,2,274,0,0,3-2
3,3,274,0,0,3-3
3,4,274,0,0,3-4
3,5,274,0,0,3-5
3,6,274,0,0,3-6
3,7,274,1,3,3-7
3,8,274,3,7,3-8
3,9,274,6,9,3-9
3,10,274,5,5,3-10
3,11,274,5,0,3-11
3,12,274,0,4,3-12
3,13,274,3,1,3-13
3,14,274,1,2,3-14
3,15,274,1,1,3-15
3,16,274,0,5,3-16
3,17,274,1,6,3-17
3,18,274,3,8,3-18
3,19,274,17,0,3-19
3,20,274,2,1,3-20
3,21,274,4,1,3-21
3,22,274,0,1,3-22
3,23,274,0,1,3-23
4,0,274,0,0,4-0
4,1,274,9,0,4-1
4,2,274,0,0,4-2
4,3,274,0,0,4-3
4,4,274,0,0,4-4
4,5,274,0,0,4-5
4,6,274,0,3,4-6
4,7,274,1,1,4-7
4,8,274,1,3,4-8
4,9,274,0,13,4-9
4,10,274,14,2,4-10
4,11,274,1,2,4-11
4,12,274,3,1,4-12
4,13,274,2,1,4-13
4,14,274,3,3,4-14
4,15,274,5,3,4-15
4,16,274,2,0,4-16
4,17,274,5,3,4-17
4,18,274,3,7,4-18
4,19,274,1,4,4-19
4,20,274,1,0,4-20
4,21,274,3,1,4-21
4,22,274,1,1,4-22
4,23,274,1,0,4-23
5,0,274,1,0,5-0
5,1,274,0,0,5-1
5,2,274,0,0,5-2
5,3,274,0,0,5-3
5,4,274,0,0,5-4
5,5,274,0,1,5-5
5,6,274,1,3,5-6
5,7,274,1,2,5-7
5,8,274,2,1,5-8
5,9,274,1,4,5-9
5,10,274,1,4,5-10
5,11,274,0,1,5-11
5,12,274,1,3,5-12
5,13,274,1,3,5-13
5,14,274,5,1,5-14
5,15,274,2,3,5-15
5,16,274,1,5,5-16
5,17,274,2,3,5-17
5,18,274,2,0,5-18
5,19,274,4,2,5-19
5,20,274,2,0,5-20
5,21,274,3,1,5-21
5,22,274,1,0,5-22
5,23,274,0,0,5-23
6,0,274,0,0,6-0
6,1,274,0,0,6-1
6,2,274,0,0,6-2
6,3,274,0,1,6-3
6,4,274,0,0,6-4
6,5,274,0,0,6-5
6,6,274,0,0,6-6
6,7,274,1,0,6-7
6,8,274,0,0,6-8
6,9,274,0,3,6-9
6,10,274,5,3,6-10
6,11,274,0,2,6-11
6,12,274,1,2,6-12
6,13,274,2,2,6-13
6,14,274,0,0,6-14
6,15,274,1,2,6-15
6,16,274,1,2,6-16
6,17,274,2,2,6-17
6,18,274,1,3,6-18
6,19,274,5,1,6-19
6,20,274,0,1,6-20
6,21,274,3,0,6-21
6,22,274,1,1,6-22
6,23,274,0,0,6-23
