week,hour,station_no,rent,lend,time_id
0,0,397,0,0,0-0
0,1,397,0,0,0-1
0,2,397,0,0,0-2
0,3,397,0,0,0-3
0,4,397,0,0,0-4
0,5,397,7,0,0-5
0,6,397,0,4,0-6
0,7,397,0,5,0-7
0,8,397,4,5,0-8
0,9,397,2,6,0-9
0,10,397,1,2,0-10
0,11,397,1,3,0-11
0,12,397,3,2,0-12
0,13,397,3,3,0-13
0,14,397,2,3,0-14
0,15,397,3,4,0-15
0,16,397,5,1,0-16
0,17,397,3,7,0-17
0,18,397,12,1,0-18
0,19,397,4,7,0-19
0,20,397,4,5,0-20
0,21,397,4,3,0-21
0,22,397,2,1,0-22
0,23,397,2,3,0-23
1,0,397,12,1,1-0
1,1,397,0,0,1-1
1,2,397,1,0,1-2
1,3,397,0,1,1-3
1,4,397,0,0,1-4
1,5,397,0,0,1-5
1,6,397,2,6,1-6
1,7,397,6,7,1-7
1,8,397,9,4,1-8
1,9,397,0,7,1-9
1,10,397,2,2,1-10
1,16,397,3,2,1-16
1,17,397,6,14,1-17
1,18,397,9,4,1-18
1,19,397,9,2,1-19
1,20,397,1,10,1-20
1,21,397,2,4,1-21
1,22,397,5,4,1-22
1,23,397,1,3,1-23
2,0,397,0,0,2-0
2,1,397,15,1,2-1
2,2,397,2,0,2-2
2,3,397,0,0,2-3
2,4,397,0,0,2-4
2,5,397,0,0,2-5
2,6,397,1,6,2-6
2,7,397,3,7,2-7
2,8,397,3,4,2-8
2,9,397,3,4,2-9
2,10,397,3,1,2-10
2,11,397,2,1,2-11
2,12,397,0,1,2-12
2,13,397,2,0,2-13
2,14,397,0,4,2-14
2,15,397,1,0,2-15
2,16,397,6,1,2-16
2,17,397,1,7,2-17
2,18,397,5,4,2-18
2,19,397,4,0,2-19
2,20,397,0,4,2-20
2,21,397,3,15,2-21
2,22,397,4,5,2-22
2,23,397,1,3,2-23
3,0,397,1,1,3-0
3,1,397,0,0,3-1
3,2,397,0,0,3-2
3,3,397,0,0,3-3
3,4,397,0,0,3-4
3,5,397,0,0,3-5
3,6,397,1,3,3-6
3,7,397,2,5,3-7
3,8,397,4,2,3-8
3,9,397,1,2,3-9
3,10,397,2,2,3-10
3,11,397,2,4,3-11
3,12,397,2,0,3-12
3,13,397,3,3,3-13
3,14,397,2,2,3-14
3,15,397,3,2,3-15
3,16,397,7,4,3-16
3,17,397,4,5,3-17
3,18,397,7,3,3-18
3,19,397,2,9,3-19
3,20,397,6,2,3-20
3,21,397,5,2,3-21
3,22,397,3,3,3-22
3,23,397,5,0,3-23
4,0,397,1,0,4-0
4,1,397,2,1,4-1
4,2,397,0,0,4-2
4,3,397,0,0,4-3
4,4,397,0,0,4-4
4,5,397,1,0,4-5
4,6,397,3,4,4-6
4,7,397,3,8,4-7
4,8,397,4,2,4-8
4,9,397,1,5,4-9
4,10,397,1,6,4-10
4,11,397,5,1,4-11
4,12,397,7,1,4-12
4,13,397,1,5,4-13
4,14,397,4,4,4-14
4,15,397,5,2,4-15
4,16,397,2,3,4-16
4,17,397,4,6,4-17
4,18,397,12,6,4-18
4,19,397,6,18,4-19
4,20,397,4,0,4-20
4,21,397,9,0,4-21
4,22,397,4,3,4-22
4,23,397,1,16,4-23
5,0,397,1,0,5-0
5,1,397,3,0,5-1
5,2,397,0,0,5-2
5,3,397,0,0,5-3
5,4,397,0,0,5-4
5,5,397,0,0,5-5
5,6,397,3,2,5-6
5,7,397,1,5,5-7
5,8,397,4,4,5-8
5,9,397,3,7,5-9
5,10,397,3,9,5-10
5,11,397,6,3,5-11
5,12,397,3,4,5-12
5,13,397,5,1,5-13
5,14,397,3,5,5-14
5,15,397,4,4,5-15
5,16,397,1,7,5-16
5,17,397,7,6,5-17
5,18,397,3,2,5-18
5,19,397,4,3,5-19
5,20,397,11,2,5-20
5,21,397,5,1,5-21
5,22,397,2,2,5-22
5,23,397,5,2,5-23
6,0,397,1,0,6-0
6,1,397,0,0,6-1
6,2,397,0,0,6-2
6,3,397,1,0,6-3
6,4,397,0,0,6-4
6,5,397,2,0,6-5
6,6,397,3,2,6-6
6,7,397,2,3,6-7
6,8,397,7,18,6-8
6,9,397,2,7,6-9
6,10,397,5,4,6-10
6,11,397,9,0,6-11
6,12,397,3,4,6-12
6,13,397,5,4,6-13
6,14,397,1,6,6-14
6,15,397,3,5,6-15
6,16,397,5,7,6-16
6,17,397,4,3,6-17
6,18,397,4,4,6-18
6,19,397,1,5,6-19
6,20,397,8,4,6-20
6,21,397,7,0,6-21
6,22,397,1,2,6-22
6,23,397,2,1,6-23
