week,hour,station_no,rent,lend,time_id
0,0,145,1,1,0-0
0,1,145,0,0,0-1
0,2,145,1,0,0-2
0,3,145,15,1,0-3
0,4,145,1,0,0-4
0,5,145,1,1,0-5
0,6,145,2,3,0-6
0,7,145,7,12,0-7
0,8,145,5,9,0-8
0,9,145,9,8,0-9
0,10,145,3,7,0-10
0,11,145,2,4,0-11
0,12,145,6,2,0-12
0,13,145,2,7,0-13
0,14,145,4,3,0-14
0,15,145,5,2,0-15
0,16,145,6,3,0-16
0,17,145,8,24,0-17
0,18,145,10,7,0-18
0,19,145,12,1,0-19
0,20,145,7,10,0-20
0,21,145,4,16,0-21
0,22,145,10,3,0-22
0,23,145,0,2,0-23
1,0,145,4,0,1-0
1,1,145,11,0,1-1
1,2,145,0,0,1-2
1,3,145,0,1,1-3
1,4,145,0,0,1-4
1,5,145,1,2,1-5
1,6,145,14,11,1-6
1,7,145,1,13,1-7
1,8,145,4,13,1-8
1,9,145,15,6,1-9
1,10,145,3,2,1-10
1,16,145,6,2,1-16
1,17,145,6,17,1-17
1,18,145,10,5,1-18
1,19,145,14,2,1-19
1,20,145,7,4,1-20
1,21,145,11,17,1-21
1,22,145,7,4,1-22
1,23,145,5,2,1-23
2,0,145,5,0,2-0
2,1,145,1,0,2-1
2,2,145,1,1,2-2
2,3,145,1,1,2-3
2,4,145,1,0,2-4
2,5,145,0,2,2-5
2,6,145,0,13,2-6
2,7,145,3,8,2-7
2,8,145,3,10,2-8
2,9,145,12,5,2-9
2,10,145,4,2,2-10
2,11,145,2,1,2-11
2,12,145,5,5,2-12
2,13,145,6,1,2-13
2,14,145,5,5,2-14
2,15,145,3,5,2-15
2,16,145,5,2,2-16
2,17,145,13,22,2-17
2,18,145,14,5,2-18
2,19,145,11,24,2-19
2,20,145,9,5,2-20
2,21,145,4,18,2-21
2,22,145,9,3,2-22
2,23,145,4,4,2-23
3,0,145,3,0,3-0
3,1,145,1,1,3-1
3,2,145,0,0,3-2
3,3,145,0,1,3-3
3,4,145,0,0,3-4
3,5,145,1,0,3-5
3,6,145,17,7,3-6
3,7,145,3,9,3-7
3,8,145,5,7,3-8
3,9,145,5,6,3-9
3,10,145,3,4,3-10
3,11,145,5,5,3-11
3,12,145,4,9,3-12
3,13,145,0,6,3-13
3,14,145,7,3,3-14
3,15,145,4,5,3-15
3,16,145,7,6,3-16
3,17,145,1,5,3-17
3,18,145,4,2,3-18
3,19,145,15,3,3-19
3,20,145,11,2,3-20
3,21,145,5,4,3-21
3,22,145,10,1,3-22
3,23,145,3,2,3-23
4,0,145,4,10,4-0
4,1,145,1,0,4-1
4,2,145,3,0,4-2
4,3,145,0,0,4-3
4,4,145,0,0,4-4
4,5,145,0,0,4-5
4,6,145,0,6,4-6
4,7,145,1,8,4-7
4,8,145,8,6,4-8
4,9,145,7,9,4-9
4,10,145,3,11,4-10
4,11,145,2,4,4-11
4,12,145,1,7,4-12
4,13,145,8,5,4-13
4,14,145,11,2,4-14
4,15,145,4,16,4-15
4,16,145,10,3,4-16
4,17,145,6,11,4-17
4,18,145,11,3,4-18
4,19,145,16,2,4-19
4,20,145,8,19,4-20
4,21,145,6,7,4-21
4,22,145,14,5,4-22
4,23,145,2,2,4-23
5,0,145,4,1,5-0
5,1,145,3,4,5-1
5,2,145,0,1,5-2
5,3,145,0,0,5-3
5,4,145,2,0,5-4
5,5,145,2,0,5-5
5,6,145,1,4,5-6
5,7,145,4,4,5-7
5,8,145,0,5,5-8
5,9,145,3,11,5-9
5,10,145,4,5,5-10
5,11,145,5,1,5-11
5,12,145,2,13,5-12
5,13,145,6,7,5-13
5,14,145,3,5,5-14
5,15,145,8,7,5-15
5,16,145,8,5,5-16
5,17,145,10,2,5-17
5,18,145,11,6,5-18
5,19,145,12,17,5-19
5,20,145,11,5,5-20
5,21,145,6,14,5-21
5,22,145,9,3,5-22
5,23,145,6,2,5-23
6,0,145,2,4,6-0
6,1,145,2,1,6-1
6,2,145,1,0,6-2
6,3,145,0,1,6-3
6,4,145,0,1,6-4
6,5,145,1,0,6-5
6,6,145,3,1,6-6
6,7,145,2,6,6-7
6,8,145,2,8,6-8
6,9,145,7,7,6-9
6,10,145,4,6,6-10
6,11,145,3,9,6-11
6,12,145,3,4,6-12
6,13,145,2,4,6-13
6,14,145,9,6,6-14
6,15,145,4,5,6-15
6,16,145,4,6,6-16
6,17,145,8,5,6-17
6,18,145,9,5,6-18
6,19,145,10,2,6-19
6,20,145,3,9,6-20
6,21,145,2,6,6-21
6,22,145,9,1,6-22
6,23,145,5,2,6-23
