week,hour,station_no,rent,lend,time_id
0,0,307,0,0,0-0
0,1,307,0,0,0-1
0,2,307,1,1,0-2
0,3,307,0,0,0-3
0,4,307,1,0,0-4
0,5,307,0,1,0-5
0,6,307,2,2,0-6
0,7,307,2,11,0-7
0,8,307,14,5,0-8
0,9,307,9,2,0-9
0,10,307,8,8,0-10
0,11,307,7,7,0-11
0,12,307,12,7,0-12
0,13,307,1,9,0-13
0,14,307,7,15,0-14
0,15,307,17,9,0-15
0,16,307,14,10,0-16
0,17,307,2,21,0-17
0,18,307,10,5,0-18
0,19,307,10,9,0-19
0,20,307,2,8,0-20
0,21,307,5,4,0-21
0,22,307,5,4,0-22
0,23,307,6,4,0-23
1,0,307,2,1,1-0
1,1,307,1,0,1-1
1,2,307,1,1,1-2
1,3,307,0,1,1-3
1,4,307,0,1,1-4
1,5,307,3,4,1-5
1,6,307,7,3,1-6
1,7,307,7,12,1-7
1,8,307,17,5,1-8
1,9,307,9,7,1-9
1,10,307,11,9,1-10
1,16,307,21,10,1-16
1,17,307,12,11,1-17
1,18,307,3,23,1-18
1,19,307,11,4,1-19
1,20,307,2,8,1-20
1,21,307,6,7,1-21
1,22,307,14,2,1-22
1,23,307,7,6,1-23
2,0,307,1,0,2-0
2,1,307,1,1,2-1
2,2,307,0,1,2-2
2,3,307,0,0,2-3
2,4,307,1,1,2-4
2,5,307,0,2,2-5
2,6,307,8,1,2-6
2,7,307,10,27,2-7
2,8,307,14,6,2-8
2,9,307,3,1,2-9
2,10,307,14,11,2-10
2,11,307,15,13,2-11
2,12,307,1,8,2-12
2,13,307,17,2,2-13
2,14,307,1,5,2-14
2,15,307,6,6,2-15
2,16,307,11,4,2-16
2,17,307,3,28,2-17
2,18,307,13,15,2-18
2,19,307,8,2,2-19
2,20,307,3,9,2-20
2,21,307,10,6,2-21
2,22,307,13,7,2-22
2,23,307,8,7,2-23
3,0,307,4,7,3-0
3,1,307,1,1,3-1
3,2,307,0,0,3-2
3,3,307,0,1,3-3
3,4,307,0,0,3-4
3,5,307,0,2,3-5
3,6,307,6,1,3-6
3,7,307,17,15,3-7
3,8,307,6,14,3-8
3,9,307,13,3,3-9
3,10,307,8,5,3-10
3,11,307,4,12,3-11
3,12,307,10,8,3-12
3,13,307,8,6,3-13
3,14,307,1,8,3-14
3,15,307,28,5,3-15
3,16,307,1,25,3-16
3,17,307,5,8,3-17
3,18,307,12,4,3-18
3,19,307,13,4,3-19
3,20,307,0,15,3-20
3,21,307,5,6,3-21
3,22,307,4,4,3-22
3,23,307,9,2,3-23
4,0,307,5,7,4-0
4,1,307,3,5,4-1
4,2,307,0,2,4-2
4,3,307,4,0,4-3
4,4,307,0,0,4-4
4,5,307,0,0,4-5
4,6,307,0,0,4-6
4,7,307,11,2,4-7
4,8,307,10,12,4-8
4,9,307,4,0,4-9
4,10,307,6,3,4-10
4,11,307,6,8,4-11
4,12,307,12,0,4-12
4,13,307,4,24,4-13
4,14,307,10,11,4-14
4,15,307,15,4,4-15
4,16,307,3,13,4-16
4,17,307,2,12,4-17
4,18,307,6,2,4-18
4,19,307,11,4,4-19
4,20,307,8,3,4-20
4,21,307,3,10,4-21
4,22,307,3,3,4-22
4,23,307,4,6,4-23
5,0,307,1,4,5-0
5,1,307,9,3,5-1
5,2,307,1,2,5-2
5,3,307,1,3,5-3
5,4,307,0,0,5-4
5,5,307,0,3,5-5
5,6,307,3,3,5-6
5,7,307,4,3,5-7
5,8,307,9,5,5-8
5,9,307,12,4,5-9
5,10,307,6,13,5-10
5,11,307,7,6,5-11
5,12,307,1,5,5-12
5,13,307,4,10,5-13
5,14,307,12,3,5-14
5,15,307,6,16,5-15
5,16,307,8,7,5-16
5,17,307,9,8,5-17
5,18,307,14,3,5-18
5,19,307,4,5,5-19
5,20,307,5,5,5-20
5,21,307,2,12,5-21
5,22,307,5,2,5-22
5,23,307,2,5,5-23
6,0,307,15,6,6-0
6,1,307,1,2,6-1
6,2,307,2,3,6-2
6,3,307,0,2,6-3
6,4,307,0,3,6-4
6,5,307,0,1,6-5
6,6,307,6,3,6-6
6,7,307,7,0,6-7
6,8,307,6,5,6-8
6,9,307,3,4,6-9
6,10,307,8,8,6-10
6,11,307,7,4,6-11
6,12,307,2,3,6-12
6,13,307,0,2,6-13
6,14,307,1,4,6-14
6,15,307,9,1,6-15
6,16,307,5,9,6-16
6,17,307,7,12,6-17
6,18,307,7,6,6-18
6,19,307,6,2,6-19
6,20,307,7,3,6-20
6,21,307,5,6,6-21
6,22,307,1,0,6-22
6,23,307,1,7,6-23
