week,hour,station_no,rent,lend,time_id
0,0,164,0,1,0-0
0,1,164,0,1,0-1
0,2,164,0,0,0-2
0,3,164,0,0,0-3
0,4,164,0,0,0-4
0,5,164,1,1,0-5
0,6,164,13,1,0-6
0,7,164,22,15,0-7
0,8,164,10,10,0-8
0,9,164,7,13,0-9
0,10,164,9,3,0-10
0,11,164,5,3,0-11
0,12,164,8,6,0-12
0,13,164,1,10,0-13
0,14,164,9,4,0-14
0,15,164,8,4,0-15
0,16,164,12,8,0-16
0,17,164,21,14,0-17
0,18,164,15,17,0-18
0,19,164,0,22,0-19
0,20,164,10,16,0-20
0,21,164,2,11,0-21
0,22,164,15,7,0-22
0,23,164,0,11,0-23
1,0,164,6,1,1-0
1,1,164,1,2,1-1
1,2,164,1,0,1-2
1,3,164,2,0,1-3
1,4,164,1,0,1-4
1,5,164,2,0,1-5
1,6,164,25,0,1-6
1,7,164,20,22,1-7
1,8,164,15,31,1-8
1,9,164,14,2,1-9
1,10,164,4,14,1-10
1,16,164,10,8,1-16
1,17,164,26,12,1-17
1,18,164,4,21,1-18
1,19,164,10,8,1-19
1,20,164,5,14,1-20
1,21,164,19,6,1-21
1,22,164,3,15,1-22
1,23,164,1,8,1-23
2,0,164,0,5,2-0
2,1,164,1,8,2-1
2,2,164,0,0,2-2
2,3,164,0,0,2-3
2,4,164,0,0,2-4
2,5,164,1,1,2-5
2,6,164,14,1,2-6
2,7,164,36,0,2-7
2,8,164,9,43,2-8
2,9,164,11,6,2-9
2,10,164,3,3,2-10
2,11,164,9,17,2-11
2,12,164,8,3,2-12
2,13,164,5,11,2-13
2,14,164,6,5,2-14
2,15,164,13,4,2-15
2,16,164,7,7,2-16
2,17,164,14,5,2-17
2,18,164,11,12,2-18
2,19,164,7,17,2-19
2,20,164,2,9,2-20
2,21,164,44,26,2-21
2,22,164,6,15,2-22
2,23,164,15,19,2-23
3,0,164,0,1,3-0
3,1,164,0,1,3-1
3,2,164,0,0,3-2
3,3,164,0,0,3-3
3,4,164,1,0,3-4
3,5,164,0,2,3-5
3,6,164,12,3,3-6
3,7,164,22,1,3-7
3,8,164,11,23,3-8
3,9,164,11,2,3-9
3,10,164,7,10,3-10
3,11,164,5,3,3-11
3,12,164,5,8,3-12
3,13,164,4,9,3-13
3,14,164,3,9,3-14
3,15,164,2,3,3-15
3,16,164,7,9,3-16
3,17,164,21,12,3-17
3,18,164,12,13,3-18
3,19,164,5,11,3-19
3,20,164,0,15,3-20
3,21,164,11,8,3-21
3,22,164,18,6,3-22
3,23,164,0,9,3-23
4,0,164,5,3,4-0
4,1,164,0,2,4-1
4,2,164,1,0,4-2
4,3,164,0,0,4-3
4,4,164,0,0,4-4
4,5,164,0,1,4-5
4,6,164,12,1,4-6
4,7,164,14,22,4-7
4,8,164,18,23,4-8
4,9,164,13,1,4-9
4,10,164,10,3,4-10
4,11,164,15,11,4-11
4,12,164,7,6,4-12
4,13,164,7,2,4-13
4,14,164,2,5,4-14
4,15,164,7,8,4-15
4,16,164,8,3,4-16
4,17,164,15,8,4-17
4,18,164,7,24,4-18
4,19,164,26,7,4-19
4,20,164,5,19,4-20
4,21,164,9,11,4-21
4,22,164,0,14,4-22
4,23,164,0,11,4-23
5,0,164,1,3,5-0
5,1,164,8,1,5-1
5,2,164,2,1,5-2
5,3,164,0,1,5-3
5,4,164,10,0,5-4
5,5,164,2,0,5-5
5,6,164,5,13,5-6
5,7,164,4,4,5-7
5,8,164,11,16,5-8
5,9,164,11,8,5-9
5,10,164,10,1,5-10
5,11,164,2,4,5-11
5,12,164,19,8,5-12
5,13,164,6,10,5-13
5,14,164,7,11,5-14
5,15,164,9,16,5-15
5,16,164,5,13,5-16
5,17,164,36,7,5-17
5,18,164,3,10,5-18
5,19,164,11,12,5-19
5,20,164,9,2,5-20
5,21,164,1,12,5-21
5,22,164,2,15,5-22
5,23,164,14,9,5-23
6,0,164,3,7,6-0
6,1,164,2,1,6-1
6,2,164,0,1,6-2
6,3,164,1,1,6-3
6,4,164,0,1,6-4
6,5,164,0,0,6-5
6,6,164,2,1,6-6
6,7,164,5,7,6-7
6,8,164,11,4,6-8
6,9,164,6,1,6-9
6,10,164,10,12,6-10
6,11,164,20,5,6-11
6,12,164,4,5,6-12
6,13,164,11,8,6-13
6,14,164,5,4,6-14
6,15,164,6,5,6-15
6,16,164,6,8,6-16
6,17,164,4,7,6-17
6,18,164,5,12,6-18
6,19,164,7,1,6-19
6,20,164,4,1,6-20
6,21,164,0,11,6-21
6,22,164,3,8,6-22
6,23,164,0,6,6-23
