week,hour,station_no,rent,lend,time_id
0,0,345,0,0,0-0
0,1,345,0,0,0-1
0,2,345,0,2,0-2
0,3,345,0,0,0-3
0,4,345,0,0,0-4
0,5,345,2,0,0-5
0,6,345,3,1,0-6
0,7,345,4,4,0-7
0,8,345,7,3,0-8
0,9,345,1,4,0-9
0,10,345,10,1,0-10
0,11,345,2,4,0-11
0,12,345,3,13,0-12
0,13,345,19,2,0-13
0,14,345,7,1,0-14
0,15,345,2,18,0-15
0,16,345,4,14,0-16
0,17,345,8,12,0-17
0,18,345,12,10,0-18
0,19,345,4,10,0-19
0,20,345,19,6,0-20
0,21,345,2,7,0-21
0,22,345,0,8,0-22
0,23,345,0,0,0-23
1,0,345,2,0,1-0
1,1,345,1,0,1-1
1,2,345,0,2,1-2
1,3,345,0,0,1-3
1,4,345,0,0,1-4
1,5,345,1,0,1-5
1,6,345,8,0,1-6
1,7,345,8,5,1-7
1,8,345,7,5,1-8
1,9,345,6,3,1-9
1,10,345,1,7,1-10
1,16,345,2,17,1-16
1,17,345,1,24,1-17
1,18,345,7,8,1-18
1,19,345,7,12,1-19
1,20,345,16,2,1-20
1,21,345,0,16,1-21
1,22,345,7,0,1-22
1,23,345,0,1,1-23
2,0,345,0,0,2-0
2,1,345,0,1,2-1
2,2,345,0,0,2-2
2,3,345,0,0,2-3
2,4,345,0,0,2-4
2,5,345,1,0,2-5
2,6,345,3,0,2-6
2,7,345,8,5,2-7
2,8,345,10,1,2-8
2,9,345,2,9,2-9
2,10,345,2,5,2-10
2,11,345,1,1,2-11
2,12,345,10,4,2-12
2,13,345,15,6,2-13
2,14,345,12,5,2-14
2,15,345,3,17,2-15
2,16,345,7,7,2-16
2,17,345,6,8,2-17
2,18,345,3,6,2-18
2,19,345,2,14,2-19
2,20,345,19,7,2-20
2,21,345,3,18,2-21
2,22,345,8,15,2-22
2,23,345,6,4,2-23
3,0,345,0,0,3-0
3,1,345,0,4,3-1
3,2,345,5,0,3-2
3,3,345,0,0,3-3
3,4,345,0,0,3-4
3,5,345,1,0,3-5
3,6,345,3,1,3-6
3,7,345,4,1,3-7
3,8,345,7,0,3-8
3,9,345,2,6,3-9
3,10,345,4,3,3-10
3,11,345,5,3,3-11
3,12,345,7,6,3-12
3,13,345,21,4,3-13
3,14,345,3,3,3-14
3,15,345,1,5,3-15
3,16,345,1,9,3-16
3,17,345,7,19,3-17
3,18,345,5,9,3-18
3,19,345,19,7,3-19
3,20,345,4,12,3-20
3,21,345,2,9,3-21
3,22,345,7,5,3-22
3,23,345,0,1,3-23
4,0,345,0,2,4-0
4,1,345,0,2,4-1
4,2,345,2,2,4-2
4,3,345,2,0,4-3
4,4,345,0,0,4-4
4,5,345,1,0,4-5
4,6,345,4,1,4-6
4,7,345,2,0,4-7
4,8,345,7,0,4-8
4,9,345,1,7,4-9
4,10,345,2,6,4-10
4,11,345,0,6,4-11
4,12,345,4,3,4-12
4,13,345,23,1,4-13
4,14,345,13,1,4-14
4,15,345,2,18,4-15
4,16,345,3,7,4-16
4,17,345,7,9,4-17
4,18,345,4,13,4-18
4,19,345,6,5,4-19
4,20,345,1,5,4-20
4,21,345,13,1,4-21
4,22,345,0,6,4-22
4,23,345,0,1,4-23
5,0,345,1,1,5-0
5,1,345,0,1,5-1
5,2,345,1,1,5-2
5,3,345,1,0,5-3
5,4,345,1,0,5-4
5,5,345,0,1,5-5
5,6,345,5,1,5-6
5,7,345,4,1,5-7
5,8,345,13,1,5-8
5,9,345,6,0,5-9
5,10,345,7,7,5-10
5,11,345,2,5,5-11
5,12,345,5,12,5-12
5,13,345,8,5,5-13
5,14,345,9,11,5-14
5,15,345,18,2,5-15
5,16,345,3,5,5-16
5,17,345,0,16,5-17
5,18,345,9,12,5-18
5,19,345,3,8,5-19
5,20,345,17,6,5-20
5,21,345,1,4,5-21
5,22,345,1,10,5-22
5,23,345,0,0,5-23
6,0,345,0,1,6-0
6,1,345,0,1,6-1
6,2,345,1,0,6-2
6,3,345,1,0,6-3
6,4,345,0,1,6-4
6,5,345,0,0,6-5
6,6,345,5,0,6-6
6,7,345,8,3,6-7
6,8,345,7,1,6-8
6,9,345,8,5,6-9
6,10,345,7,5,6-10
6,11,345,4,5,6-11
6,12,345,6,8,6-12
6,13,345,4,3,6-13
6,14,345,5,7,6-14
6,15,345,10,7,6-15
6,16,345,3,7,6-16
6,17,345,6,8,6-17
6,18,345,7,7,6-18
6,19,345,10,0,6-19
6,20,345,5,5,6-20
6,21,345,5,13,6-21
6,22,345,0,9,6-22
6,23,345,0,1,6-23
