week,hour,station_no,rent,lend,time_id
0,0,211,0,0,0-0
0,1,211,0,0,0-1
0,2,211,0,0,0-2
0,3,211,0,0,0-3
0,4,211,0,0,0-4
0,5,211,0,0,0-5
0,6,211,1,1,0-6
0,7,211,0,1,0-7
0,8,211,7,3,0-8
0,9,211,0,1,0-9
0,10,211,0,0,0-10
0,11,211,0,3,0-11
0,12,211,1,2,0-12
0,13,211,0,2,0-13
0,14,211,0,0,0-14
0,15,211,0,0,0-15
0,16,211,0,1,0-16
0,17,211,0,0,0-17
0,18,211,1,1,0-18
0,19,211,1,0,0-19
0,20,211,1,0,0-20
0,21,211,0,1,0-21
0,22,211,1,0,0-22
0,23,211,0,1,0-23
1,0,211,1,0,1-0
1,1,211,0,0,1-1
1,2,211,0,0,1-2
1,3,211,0,0,1-3
1,4,211,0,0,1-4
1,5,211,1,0,1-5
1,6,211,0,1,1-6
1,7,211,14,1,1-7
1,8,211,0,4,1-8
1,9,211,0,4,1-9
1,10,211,1,1,1-10
1,16,211,0,2,1-16
1,17,211,2,0,1-17
1,18,211,1,0,1-18
1,19,211,1,2,1-19
1,20,211,0,1,1-20
1,21,211,3,0,1-21
1,22,211,1,2,1-22
1,23,211,1,1,1-23
2,0,211,0,0,2-0
2,1,211,0,0,2-1
2,2,211,0,0,2-2
2,3,211,0,0,2-3
2,4,211,0,0,2-4
2,5,211,0,0,2-5
2,6,211,1,0,2-6
2,7,211,10,0,2-7
2,8,211,0,2,2-8
2,9,211,0,3,2-9
2,10,211,0,1,2-10
2,11,211,0,1,2-11
2,12,211,1,0,2-12
2,13,211,0,0,2-13
2,14,211,0,0,2-14
2,15,211,1,1,2-15
2,16,211,1,0,2-16
2,17,211,0,0,2-17
2,18,211,1,0,2-18
2,19,211,0,0,2-19
2,20,211,1,2,2-20
2,21,211,2,0,2-21
2,22,211,4,2,2-22
2,23,211,0,0,2-23
3,0,211,1,0,3-0
3,1,211,0,0,3-1
3,2,211,0,0,3-2
3,3,211,0,0,3-3
3,4,211,0,0,3-4
3,5,211,0,0,3-5
3,6,211,0,1,3-6
3,7,211,0,2,3-7
3,8,211,0,2,3-8
3,9,211,0,1,3-9
3,10,211,0,1,3-10
3,11,211,1,1,3-11
3,12,211,0,0,3-12
3,13,211,0,0,3-13
3,14,211,1,0,3-14
3,15,211,0,0,3-15
3,16,211,0,1,3-16
3,17,211,1,1,3-17
3,18,211,1,3,3-18
3,19,211,0,1,3-19
3,20,211,2,0,3-20
3,21,211,0,0,3-21
3,22,211,0,0,3-22
3,23,211,1,1,3-23
4,0,211,2,0,4-0
4,1,211,0,0,4-1
4,2,211,0,0,4-2
4,3,211,0,0,4-3
4,4,211,0,0,4-4
4,5,211,0,0,4-5
4,6,211,0,2,4-6
4,7,211,1,1,4-7
4,8,211,0,2,4-8
4,9,211,0,1,4-9
4,10,211,11,4,4-10
4,11,211,0,1,4-11
4,12,211,1,0,4-12
4,13,211,1,1,4-13
4,14,211,1,3,4-14
4,15,211,2,0,4-15
4,16,211,0,0,4-16
4,17,211,1,0,4-17
4,18,211,1,1,4-18
4,19,211,2,1,4-19
4,20,211,0,0,4-20
4,21,211,0,0,4-21
4,22,211,2,0,4-22
4,23,211,0,0,4-23
5,0,211,1,0,5-0
5,1,211,0,0,5-1
5,2,211,1,0,5-2
5,3,211,0,0,5-3
5,4,211,0,0,5-4
5,5,211,0,0,5-5
5,6,211,1,1,5-6
5,7,211,0,2,5-7
5,8,211,0,2,5-8
5,9,211,1,1,5-9
5,10,211,0,5,5-10
5,11,211,0,2,5-11
5,12,211,3,1,5-12
5,13,211,1,5,5-13
5,14,211,1,5,5-14
5,15,211,0,6,5-15
5,16,211,2,2,5-16
5,17,211,1,0,5-17
5,18,211,0,0,5-18
5,19,211,2,1,5-19
5,20,211,3,0,5-20
5,21,211,1,0,5-21
5,22,211,0,0,5-22
5,23,211,1,1,5-23
6,0,211,0,0,6-0
6,1,211,0,0,6-1
6,2,211,0,0,6-2
6,3,211,1,0,6-3
6,4,211,0,0,6-4
6,5,211,0,0,6-5
6,6,211,0,0,6-6
6,7,211,0,1,6-7
6,8,211,0,0,6-8
6,9,211,13,0,6-9
6,10,211,2,1,6-10
6,11,211,1,1,6-11
6,12,211,0,0,6-12
6,13,211,0,1,6-13
6,14,211,3,4,6-14
6,15,211,1,2,6-15
6,16,211,1,3,6-16
6,17,211,1,1,6-17
6,18,211,0,1,6-18
6,19,211,0,0,6-19
6,20,211,0,1,6-20
6,21,211,2,0,6-21
6,22,211,1,1,6-22
6,23,211,0,1,6-23
