week,hour,station_no,rent,lend,time_id
0,0,275,1,4,0-0
0,1,275,1,4,0-1
0,2,275,0,2,0-2
0,3,275,11,3,0-3
0,4,275,1,2,0-4
0,5,275,1,1,0-5
0,6,275,1,0,0-6
0,7,275,4,12,0-7
0,8,275,6,4,0-8
0,9,275,4,3,0-9
0,10,275,19,6,0-10
0,11,275,3,7,0-11
0,12,275,10,2,0-12
0,13,275,9,6,0-13
0,14,275,1,7,0-14
0,15,275,11,4,0-15
0,16,275,8,6,0-16
0,17,275,17,7,0-17
0,18,275,9,17,0-18
0,19,275,7,11,0-19
0,20,275,9,12,0-20
0,21,275,7,9,0-21
0,22,275,2,12,0-22
0,23,275,2,9,0-23
1,0,275,0,11,1-0
1,1,275,1,4,1-1
1,2,275,1,2,1-2
1,3,275,1,0,1-3
1,4,275,14,0,1-4
1,5,275,1,2,1-5
1,6,275,1,1,1-6
1,7,275,7,8,1-7
1,8,275,14,6,1-8
1,9,275,9,5,1-9
1,10,275,7,4,1-10
1,16,275,6,12,1-16
1,17,275,6,10,1-17
1,18,275,20,9,1-18
1,19,275,16,5,1-19
1,20,275,9,12,1-20
1,21,275,13,13,1-21
1,22,275,7,16,1-22
1,23,275,2,7,1-23
2,0,275,1,6,2-0
2,1,275,0,4,2-1
2,2,275,1,0,2-2
2,3,275,0,1,2-3
2,4,275,1,1,2-4
2,5,275,6,3,2-5
2,6,275,3,1,2-6
2,7,275,1,3,2-7
2,8,275,11,3,2-8
2,9,275,6,1,2-9
2,10,275,2,6,2-10
2,11,275,4,2,2-11
2,12,275,6,6,2-12
2,13,275,10,5,2-13
2,14,275,3,9,2-14
2,15,275,13,4,2-15
2,16,275,10,9,2-16
2,17,275,13,10,2-17
2,18,275,16,10,2-18
2,19,275,9,17,2-19
2,20,275,10,9,2-20
2,21,275,12,17,2-21
2,22,275,11,12,2-22
2,23,275,5,11,2-23
3,0,275,3,4,3-0
3,1,275,3,1,3-1
3,2,275,0,4,3-2
3,3,275,12,3,3-3
3,4,275,1,1,3-4
3,5,275,1,0,3-5
3,6,275,2,0,3-6
3,7,275,2,6,3-7
3,8,275,1,7,3-8
3,9,275,4,3,3-9
3,10,275,7,5,3-10
3,11,275,17,5,3-11
3,12,275,18,5,3-12
3,13,275,5,10,3-13
3,14,275,6,6,3-14
3,15,275,7,7,3-15
3,16,275,13,18,3-16
3,17,275,7,15,3-17
3,18,275,16,12,3-18
3,19,275,5,15,3-19
3,20,275,5,14,3-20
3,21,275,7,17,3-21
3,22,275,5,5,3-22
3,23,275,4,4,3-23
4,0,275,1,1,4-0
4,1,275,15,2,4-1
4,2,275,1,5,4-2
4,3,275,1,3,4-3
4,4,275,17,1,4-4
4,5,275,10,0,4-5
4,6,275,2,2,4-6
4,7,275,1,5,4-7
4,8,275,6,8,4-8
4,9,275,11,13,4-9
4,10,275,5,6,4-10
4,11,275,4,5,4-11
4,12,275,9,1,4-12
4,13,275,6,12,4-13
4,14,275,10,7,4-14
4,15,275,10,7,4-15
4,16,275,7,8,4-16
4,17,275,13,1,4-17
4,18,275,9,17,4-18
4,19,275,8,16,4-19
4,20,275,7,7,4-20
4,21,275,6,12,4-21
4,22,275,1,20,4-22
4,23,275,17,5,4-23
5,0,275,1,13,5-0
5,1,275,5,6,5-1
5,2,275,3,3,5-2
5,3,275,10,0,5-3
5,4,275,19,1,5-4
5,5,275,1,2,5-5
5,6,275,2,4,5-6
5,7,275,4,3,5-7
5,8,275,8,7,5-8
5,9,275,9,4,5-9
5,10,275,6,7,5-10
5,11,275,11,10,5-11
5,12,275,7,11,5-12
5,13,275,27,8,5-13
5,14,275,6,13,5-14
5,15,275,8,16,5-15
5,16,275,17,11,5-16
5,17,275,12,20,5-17
5,18,275,6,10,5-18
5,19,275,15,6,5-19
5,20,275,12,19,5-20
5,21,275,11,8,5-21
5,22,275,5,28,5-22
5,23,275,4,10,5-23
6,0,275,19,4,6-0
6,1,275,3,8,6-1
6,2,275,1,7,6-2
6,3,275,1,2,6-3
6,4,275,14,1,6-4
6,5,275,2,1,6-5
6,6,275,1,3,6-6
6,7,275,5,5,6-7
6,8,275,4,6,6-8
6,9,275,6,9,6-9
6,10,275,31,3,6-10
6,11,275,7,1,6-11
6,12,275,4,1,6-12
6,13,275,12,21,6-13
6,14,275,10,6,6-14
6,15,275,4,10,6-15
6,16,275,15,10,6-16
6,17,275,11,14,6-17
6,18,275,5,13,6-18
6,19,275,9,0,6-19
6,20,275,3,6,6-20
6,21,275,4,9,6-21
6,22,275,2,18,6-22
6,23,275,21,13,6-23
